0.1.41-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.41-Beta/seen-common-0.1.41-Beta.jar returned status 404
0.1.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.59/seen-common-0.1.59.jar returned status 404
0.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.60/seen-common-0.1.60.jar returned status 404
0.1.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.61/seen-common-0.1.61.jar returned status 404
0.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.62/seen-common-0.1.62.jar returned status 404
0.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.63/seen-common-0.1.63.jar returned status 404
0.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.64/seen-common-0.1.64.jar returned status 404
0.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.66/seen-common-0.1.66.jar returned status 404
0.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.67/seen-common-0.1.67.jar returned status 404
0.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.68/seen-common-0.1.68.jar returned status 404
0.1.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.69/seen-common-0.1.69.jar returned status 404
0.1.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.70/seen-common-0.1.70.jar returned status 404
0.1.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.71/seen-common-0.1.71.jar returned status 404
0.1.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.72/seen-common-0.1.72.jar returned status 404
0.1.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.73/seen-common-0.1.73.jar returned status 404
0.1.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.74/seen-common-0.1.74.jar returned status 404
0.1.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.75/seen-common-0.1.75.jar returned status 404
0.1.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.76/seen-common-0.1.76.jar returned status 404
0.1.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.77/seen-common-0.1.77.jar returned status 404
0.1.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.78/seen-common-0.1.78.jar returned status 404
0.1.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.79/seen-common-0.1.79.jar returned status 404
0.1.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.80/seen-common-0.1.80.jar returned status 404
0.1.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.81/seen-common-0.1.81.jar returned status 404
0.1.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.82/seen-common-0.1.82.jar returned status 404
0.1.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.83/seen-common-0.1.83.jar returned status 404
0.1.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.85/seen-common-0.1.85.jar returned status 404
0.1.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.86/seen-common-0.1.86.jar returned status 404
0.1.89		2026-05-30T03:10:44Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.89/seen-common-0.1.89.jar returned status 404
