0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.1/Parent-Platform-0.0.1.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.17/Parent-Platform-0.0.17.jar returned status 404
0.0.170			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.170/Parent-Platform-0.0.170.jar returned status 404
0.0.171			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.171/Parent-Platform-0.0.171.jar returned status 404
0.0.172			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.172/Parent-Platform-0.0.172.jar returned status 404
0.0.173			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.173/Parent-Platform-0.0.173.jar returned status 404
0.0.174			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.174/Parent-Platform-0.0.174.jar returned status 404
0.0.175			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.175/Parent-Platform-0.0.175.jar returned status 404
0.0.176			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.176/Parent-Platform-0.0.176.jar returned status 404
0.0.177			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.177/Parent-Platform-0.0.177.jar returned status 404
0.0.178			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.178/Parent-Platform-0.0.178.jar returned status 404
0.0.179			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.179/Parent-Platform-0.0.179.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.18/Parent-Platform-0.0.18.jar returned status 404
0.0.180			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.180/Parent-Platform-0.0.180.jar returned status 404
0.0.181			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.181/Parent-Platform-0.0.181.jar returned status 404
0.0.182			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.182/Parent-Platform-0.0.182.jar returned status 404
0.0.183			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.183/Parent-Platform-0.0.183.jar returned status 404
0.0.184			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.184/Parent-Platform-0.0.184.jar returned status 404
0.0.185			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.185/Parent-Platform-0.0.185.jar returned status 404
0.0.186			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.186/Parent-Platform-0.0.186.jar returned status 404
0.0.187			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.187/Parent-Platform-0.0.187.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.19/Parent-Platform-0.0.19.jar returned status 404
0.0.190			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.190/Parent-Platform-0.0.190.jar returned status 404
0.0.191			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.191/Parent-Platform-0.0.191.jar returned status 404
0.0.192			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.192/Parent-Platform-0.0.192.jar returned status 404
0.0.193			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.193/Parent-Platform-0.0.193.jar returned status 404
0.0.194			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.194/Parent-Platform-0.0.194.jar returned status 404
0.0.195			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.195/Parent-Platform-0.0.195.jar returned status 404
0.0.196			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.196/Parent-Platform-0.0.196.jar returned status 404
0.0.197			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.197/Parent-Platform-0.0.197.jar returned status 404
0.0.198			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.198/Parent-Platform-0.0.198.jar returned status 404
0.0.199			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.199/Parent-Platform-0.0.199.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.2/Parent-Platform-0.0.2.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.20/Parent-Platform-0.0.20.jar returned status 404
0.0.200			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.200/Parent-Platform-0.0.200.jar returned status 404
0.0.201			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.201/Parent-Platform-0.0.201.jar returned status 404
0.0.202			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.202/Parent-Platform-0.0.202.jar returned status 404
0.0.205			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.205/Parent-Platform-0.0.205.jar returned status 404
0.0.206			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.206/Parent-Platform-0.0.206.jar returned status 404
0.0.207			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.207/Parent-Platform-0.0.207.jar returned status 404
0.0.208			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.208/Parent-Platform-0.0.208.jar returned status 404
0.0.209			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.209/Parent-Platform-0.0.209.jar returned status 404
0.0.210			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.210/Parent-Platform-0.0.210.jar returned status 404
0.0.211			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.211/Parent-Platform-0.0.211.jar returned status 404
0.0.212			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.212/Parent-Platform-0.0.212.jar returned status 404
0.0.213			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.213/Parent-Platform-0.0.213.jar returned status 404
0.0.214			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.214/Parent-Platform-0.0.214.jar returned status 404
0.0.215			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.215/Parent-Platform-0.0.215.jar returned status 404
0.0.216			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.216/Parent-Platform-0.0.216.jar returned status 404
0.0.217			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.217/Parent-Platform-0.0.217.jar returned status 404
0.0.218			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.218/Parent-Platform-0.0.218.jar returned status 404
0.0.219			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.219/Parent-Platform-0.0.219.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.22/Parent-Platform-0.0.22.jar returned status 404
0.0.220			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.220/Parent-Platform-0.0.220.jar returned status 404
0.0.221			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.221/Parent-Platform-0.0.221.jar returned status 404
0.0.222			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.222/Parent-Platform-0.0.222.jar returned status 404
0.0.223			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.223/Parent-Platform-0.0.223.jar returned status 404
0.0.224			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.224/Parent-Platform-0.0.224.jar returned status 404
0.0.225			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.225/Parent-Platform-0.0.225.jar returned status 404
0.0.228			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.228/Parent-Platform-0.0.228.jar returned status 404
0.0.229			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.229/Parent-Platform-0.0.229.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.23/Parent-Platform-0.0.23.jar returned status 404
0.0.230			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.230/Parent-Platform-0.0.230.jar returned status 404
0.0.231			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.231/Parent-Platform-0.0.231.jar returned status 404
0.0.232			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.232/Parent-Platform-0.0.232.jar returned status 404
0.0.233			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.233/Parent-Platform-0.0.233.jar returned status 404
0.0.234			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.234/Parent-Platform-0.0.234.jar returned status 404
0.0.235			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.235/Parent-Platform-0.0.235.jar returned status 404
0.0.237			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.237/Parent-Platform-0.0.237.jar returned status 404
0.0.238			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.238/Parent-Platform-0.0.238.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.24/Parent-Platform-0.0.24.jar returned status 404
0.0.240			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.240/Parent-Platform-0.0.240.jar returned status 404
0.0.241			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.241/Parent-Platform-0.0.241.jar returned status 404
0.0.242			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.242/Parent-Platform-0.0.242.jar returned status 404
0.0.243			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.243/Parent-Platform-0.0.243.jar returned status 404
0.0.244			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.244/Parent-Platform-0.0.244.jar returned status 404
0.0.245			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.245/Parent-Platform-0.0.245.jar returned status 404
0.0.246			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.246/Parent-Platform-0.0.246.jar returned status 404
0.0.247			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.247/Parent-Platform-0.0.247.jar returned status 404
0.0.248			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.248/Parent-Platform-0.0.248.jar returned status 404
0.0.249			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.249/Parent-Platform-0.0.249.jar returned status 404
0.0.250			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.250/Parent-Platform-0.0.250.jar returned status 404
0.0.251			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.251/Parent-Platform-0.0.251.jar returned status 404
0.0.252			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.252/Parent-Platform-0.0.252.jar returned status 404
0.0.253			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.253/Parent-Platform-0.0.253.jar returned status 404
0.0.254			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.254/Parent-Platform-0.0.254.jar returned status 404
0.0.255			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.255/Parent-Platform-0.0.255.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.26/Parent-Platform-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.27/Parent-Platform-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.28/Parent-Platform-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.29/Parent-Platform-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.3/Parent-Platform-0.0.3.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.30/Parent-Platform-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.31/Parent-Platform-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.32/Parent-Platform-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.33/Parent-Platform-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.34/Parent-Platform-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.35/Parent-Platform-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/prompto/Parent-Platform/0.0.36/Parent-Platform-0.0.36.jar returned status 404
