1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.0/ospf-kotlin-1.0.0.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.20/ospf-kotlin-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.21/ospf-kotlin-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.22/ospf-kotlin-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.23/ospf-kotlin-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.24/ospf-kotlin-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.25/ospf-kotlin-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.26/ospf-kotlin-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.27/ospf-kotlin-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.28/ospf-kotlin-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.29/ospf-kotlin-1.0.29.jar returned status 404
1.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.3/ospf-kotlin-1.0.3.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.30/ospf-kotlin-1.0.30.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.31/ospf-kotlin-1.0.31.jar returned status 404
1.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.32/ospf-kotlin-1.0.32.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.33/ospf-kotlin-1.0.33.jar returned status 404
1.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.34/ospf-kotlin-1.0.34.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.35/ospf-kotlin-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.36/ospf-kotlin-1.0.36.jar returned status 404
1.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.37/ospf-kotlin-1.0.37.jar returned status 404
1.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.38/ospf-kotlin-1.0.38.jar returned status 404
1.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.39/ospf-kotlin-1.0.39.jar returned status 404
1.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.4/ospf-kotlin-1.0.4.jar returned status 404
1.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.40/ospf-kotlin-1.0.40.jar returned status 404
1.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.41/ospf-kotlin-1.0.41.jar returned status 404
1.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.42/ospf-kotlin-1.0.42.jar returned status 404
1.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.43/ospf-kotlin-1.0.43.jar returned status 404
1.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.44/ospf-kotlin-1.0.44.jar returned status 404
1.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.45/ospf-kotlin-1.0.45.jar returned status 404
1.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.46/ospf-kotlin-1.0.46.jar returned status 404
1.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.47/ospf-kotlin-1.0.47.jar returned status 404
1.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.48/ospf-kotlin-1.0.48.jar returned status 404
1.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.49/ospf-kotlin-1.0.49.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.5/ospf-kotlin-1.0.5.jar returned status 404
1.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.50/ospf-kotlin-1.0.50.jar returned status 404
1.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.51/ospf-kotlin-1.0.51.jar returned status 404
1.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.52/ospf-kotlin-1.0.52.jar returned status 404
1.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.53/ospf-kotlin-1.0.53.jar returned status 404
1.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.54/ospf-kotlin-1.0.54.jar returned status 404
1.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.55/ospf-kotlin-1.0.55.jar returned status 404
1.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.56/ospf-kotlin-1.0.56.jar returned status 404
1.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.57/ospf-kotlin-1.0.57.jar returned status 404
1.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.58/ospf-kotlin-1.0.58.jar returned status 404
1.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.59/ospf-kotlin-1.0.59.jar returned status 404
1.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.6/ospf-kotlin-1.0.6.jar returned status 404
1.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.60/ospf-kotlin-1.0.60.jar returned status 404
1.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.61/ospf-kotlin-1.0.61.jar returned status 404
1.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.62/ospf-kotlin-1.0.62.jar returned status 404
1.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.63/ospf-kotlin-1.0.63.jar returned status 404
1.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.64/ospf-kotlin-1.0.64.jar returned status 404
1.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.65/ospf-kotlin-1.0.65.jar returned status 404
1.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.66/ospf-kotlin-1.0.66.jar returned status 404
1.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.67/ospf-kotlin-1.0.67.jar returned status 404
1.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.68/ospf-kotlin-1.0.68.jar returned status 404
1.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.69/ospf-kotlin-1.0.69.jar returned status 404
1.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.7/ospf-kotlin-1.0.7.jar returned status 404
1.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.70/ospf-kotlin-1.0.70.jar returned status 404
1.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.71/ospf-kotlin-1.0.71.jar returned status 404
1.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.72/ospf-kotlin-1.0.72.jar returned status 404
1.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.8/ospf-kotlin-1.0.8.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fuookami/ospf/kotlin/ospf-kotlin/1.0.9/ospf-kotlin-1.0.9.jar returned status 404
