0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.0.2/tomitribe-crest-parent-0.0.2.jar returned status 404
0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.32/tomitribe-crest-parent-0.32.jar returned status 404
0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.34/tomitribe-crest-parent-0.34.jar returned status 404
0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.35/tomitribe-crest-parent-0.35.jar returned status 404
0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.36/tomitribe-crest-parent-0.36.jar returned status 404
0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.37/tomitribe-crest-parent-0.37.jar returned status 404
0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.38/tomitribe-crest-parent-0.38.jar returned status 404
0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.39/tomitribe-crest-parent-0.39.jar returned status 404
0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.4/tomitribe-crest-parent-0.4.jar returned status 404
0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.40/tomitribe-crest-parent-0.40.jar returned status 404
0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.41/tomitribe-crest-parent-0.41.jar returned status 404
0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.42/tomitribe-crest-parent-0.42.jar returned status 404
0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.43/tomitribe-crest-parent-0.43.jar returned status 404
0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.44/tomitribe-crest-parent-0.44.jar returned status 404
0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.45/tomitribe-crest-parent-0.45.jar returned status 404
0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.46/tomitribe-crest-parent-0.46.jar returned status 404
0.47		2026-08-05T01:53:34Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.47/tomitribe-crest-parent-0.47.jar returned status 404
0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.5/tomitribe-crest-parent-0.5.jar returned status 404
0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.6/tomitribe-crest-parent-0.6.jar returned status 404
0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.7/tomitribe-crest-parent-0.7.jar returned status 404
0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/tomitribe/tomitribe-crest-parent/0.8/tomitribe-crest-parent-0.8.jar returned status 404
