0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.1/cybrid-android-sdk-0.0.1.jar returned status 404
0.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.77/cybrid-android-sdk-0.0.77.jar returned status 404
0.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.78/cybrid-android-sdk-0.0.78.jar returned status 404
0.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.79/cybrid-android-sdk-0.0.79.jar returned status 404
0.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.8/cybrid-android-sdk-0.0.8.jar returned status 404
0.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.80/cybrid-android-sdk-0.0.80.jar returned status 404
0.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.81/cybrid-android-sdk-0.0.81.jar returned status 404
0.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.82/cybrid-android-sdk-0.0.82.jar returned status 404
0.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.83/cybrid-android-sdk-0.0.83.jar returned status 404
0.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.84/cybrid-android-sdk-0.0.84.jar returned status 404
0.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.85/cybrid-android-sdk-0.0.85.jar returned status 404
0.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.86/cybrid-android-sdk-0.0.86.jar returned status 404
0.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.87/cybrid-android-sdk-0.0.87.jar returned status 404
0.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.88/cybrid-android-sdk-0.0.88.jar returned status 404
0.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.89/cybrid-android-sdk-0.0.89.jar returned status 404
0.0.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.92/cybrid-android-sdk-0.0.92.jar returned status 404
0.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.93/cybrid-android-sdk-0.0.93.jar returned status 404
0.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.94/cybrid-android-sdk-0.0.94.jar returned status 404
0.0.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.95/cybrid-android-sdk-0.0.95.jar returned status 404
0.0.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.96/cybrid-android-sdk-0.0.96.jar returned status 404
0.0.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.97/cybrid-android-sdk-0.0.97.jar returned status 404
0.0.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.98/cybrid-android-sdk-0.0.98.jar returned status 404
0.0.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.99/cybrid-android-sdk-0.0.99.jar returned status 404
v0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/v0.0.3/cybrid-android-sdk-v0.0.3.jar returned status 404
