0.10.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/0.10.1/yauaa-parent-0.10.1.jar returned status 404
4.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/4.5/yauaa-parent-4.5.jar returned status 404
5.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.0/yauaa-parent-5.0.jar returned status 404
5.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.1/yauaa-parent-5.1.jar returned status 404
5.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.10/yauaa-parent-5.10.jar returned status 404
5.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.11/yauaa-parent-5.11.jar returned status 404
5.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.12/yauaa-parent-5.12.jar returned status 404
5.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.13/yauaa-parent-5.13.jar returned status 404
5.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.14/yauaa-parent-5.14.jar returned status 404
5.14.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.14.1/yauaa-parent-5.14.1.jar returned status 404
5.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.15/yauaa-parent-5.15.jar returned status 404
5.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.16/yauaa-parent-5.16.jar returned status 404
5.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.17/yauaa-parent-5.17.jar returned status 404
5.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.18/yauaa-parent-5.18.jar returned status 404
5.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.19/yauaa-parent-5.19.jar returned status 404
5.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.2/yauaa-parent-5.2.jar returned status 404
5.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.20/yauaa-parent-5.20.jar returned status 404
5.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.21/yauaa-parent-5.21.jar returned status 404
5.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.22/yauaa-parent-5.22.jar returned status 404
5.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.23/yauaa-parent-5.23.jar returned status 404
5.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.3/yauaa-parent-5.3.jar returned status 404
5.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.4/yauaa-parent-5.4.jar returned status 404
5.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.5/yauaa-parent-5.5.jar returned status 404
5.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.6/yauaa-parent-5.6.jar returned status 404
5.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.7/yauaa-parent-5.7.jar returned status 404
5.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.8/yauaa-parent-5.8.jar returned status 404
5.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/5.9/yauaa-parent-5.9.jar returned status 404
6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.0/yauaa-parent-6.0.jar returned status 404
6.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.1/yauaa-parent-6.1.jar returned status 404
6.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.2/yauaa-parent-6.2.jar returned status 404
6.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.3/yauaa-parent-6.3.jar returned status 404
6.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.4/yauaa-parent-6.4.jar returned status 404
6.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.5/yauaa-parent-6.5.jar returned status 404
6.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.6/yauaa-parent-6.6.jar returned status 404
6.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.7/yauaa-parent-6.7.jar returned status 404
6.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/6.8/yauaa-parent-6.8.jar returned status 404
7.31.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/7.31.0/yauaa-parent-7.31.0.jar returned status 404
7.32.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/7.32.0/yauaa-parent-7.32.0.jar returned status 404
8.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/8.0.0/yauaa-parent-8.0.0.jar returned status 404
8.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/8.1.0/yauaa-parent-8.1.0.jar returned status 404
8.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/nl/basjes/parse/useragent/yauaa-parent/8.1.1/yauaa-parent-8.1.1.jar returned status 404
