1.0.0	named	org.eclipse.ecsp	ro-sp	2025-05-26T15:25:55Z	
1.0.1	named	org.eclipse.ecsp	ro-sp	2025-06-03T08:28:13Z	
1.0.2	named	org.eclipse.ecsp	ro-sp	2025-06-16T08:54:41Z	
1.0.12	named	com.aliyun	videorecog20200320	2026-01-28T05:23:18Z	
1.3.0	named	com.aliyun	cloudauth20221125	2026-02-02T17:21:44Z	
3.13.2	named	com.aliyun	cloudauth20190307	2026-04-14T06:25:40Z	
5.0.0	named	com.aliyun	dyvmsapi20170525	2026-04-16T07:49:06Z	
5.1.0	named	com.aliyun	dyvmsapi20170525	2026-04-24T17:31:02Z	
5.2.0	named	com.aliyun	dyvmsapi20170525	2026-04-27T18:23:07Z	
5.3.0	named	com.aliyun	dyvmsapi20170525	2026-04-28T17:45:01Z	
5.4.0	named	com.aliyun	dyvmsapi20170525	2026-04-29T17:15:14Z	
5.5.0	named	com.aliyun	dyvmsapi20170525	2026-05-14T17:52:03Z	
3.13.3	named	com.aliyun	cloudauth20190307	2026-06-08T09:20:53Z	
