9.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.0/unicorn_li-9.2.0.jar returned status 404
9.2.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.43/unicorn_li-9.2.43.jar returned status 404
9.2.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.44/unicorn_li-9.2.44.jar returned status 404
9.2.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.45/unicorn_li-9.2.45.jar returned status 404
9.2.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.46/unicorn_li-9.2.46.jar returned status 404
9.2.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.47/unicorn_li-9.2.47.jar returned status 404
9.2.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.48/unicorn_li-9.2.48.jar returned status 404
9.2.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.49/unicorn_li-9.2.49.jar returned status 404
9.2.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.5/unicorn_li-9.2.5.jar returned status 404
9.2.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.50/unicorn_li-9.2.50.jar returned status 404
9.2.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.51/unicorn_li-9.2.51.jar returned status 404
9.2.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.52/unicorn_li-9.2.52.jar returned status 404
9.2.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.53/unicorn_li-9.2.53.jar returned status 404
9.2.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.54/unicorn_li-9.2.54.jar returned status 404
9.2.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.55/unicorn_li-9.2.55.jar returned status 404
9.2.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.56/unicorn_li-9.2.56.jar returned status 404
9.2.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.57/unicorn_li-9.2.57.jar returned status 404
9.2.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.58/unicorn_li-9.2.58.jar returned status 404
9.2.59		2026-05-25T12:32:30Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.59/unicorn_li-9.2.59.jar returned status 404
9.2.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.6/unicorn_li-9.2.6.jar returned status 404
9.2.60		2026-05-27T10:10:36Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.60/unicorn_li-9.2.60.jar returned status 404
9.2.61		2026-05-28T08:32:45Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.61/unicorn_li-9.2.61.jar returned status 404
9.2.62		2026-06-17T03:10:09Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.62/unicorn_li-9.2.62.jar returned status 404
9.2.63		2026-06-17T09:12:58Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.63/unicorn_li-9.2.63.jar returned status 404
9.2.64		2026-06-26T05:59:42Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.64/unicorn_li-9.2.64.jar returned status 404
9.2.65		2026-06-26T09:45:22Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.65/unicorn_li-9.2.65.jar returned status 404
9.2.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.66/unicorn_li-9.2.66.jar returned status 404
9.2.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.67/unicorn_li-9.2.67.jar returned status 404
9.2.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.68/unicorn_li-9.2.68.jar returned status 404
9.2.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.69/unicorn_li-9.2.69.jar returned status 404
9.2.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.7/unicorn_li-9.2.7.jar returned status 404
9.2.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.8/unicorn_li-9.2.8.jar returned status 404
9.2.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/qiyukf/unicorn/unicorn_li/9.2.9/unicorn_li-9.2.9.jar returned status 404
