0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1/odata-client-parent-0.1.jar returned status 404
0.1.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.55/odata-client-parent-0.1.55.jar returned status 404
0.1.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.57/odata-client-parent-0.1.57.jar returned status 404
0.1.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.58/odata-client-parent-0.1.58.jar returned status 404
0.1.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.59/odata-client-parent-0.1.59.jar returned status 404
0.1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.6/odata-client-parent-0.1.6.jar returned status 404
0.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.60/odata-client-parent-0.1.60.jar returned status 404
0.1.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.61/odata-client-parent-0.1.61.jar returned status 404
0.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.62/odata-client-parent-0.1.62.jar returned status 404
0.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.63/odata-client-parent-0.1.63.jar returned status 404
0.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.64/odata-client-parent-0.1.64.jar returned status 404
0.1.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.65/odata-client-parent-0.1.65.jar returned status 404
0.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.66/odata-client-parent-0.1.66.jar returned status 404
0.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.67/odata-client-parent-0.1.67.jar returned status 404
0.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.68/odata-client-parent-0.1.68.jar returned status 404
0.1.69.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.69.1/odata-client-parent-0.1.69.1.jar returned status 404
0.1.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.71/odata-client-parent-0.1.71.jar returned status 404
0.1.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.73/odata-client-parent-0.1.73.jar returned status 404
0.1.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.75/odata-client-parent-0.1.75.jar returned status 404
0.1.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.76/odata-client-parent-0.1.76.jar returned status 404
0.1.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.77/odata-client-parent-0.1.77.jar returned status 404
0.1.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.78/odata-client-parent-0.1.78.jar returned status 404
0.1.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.79/odata-client-parent-0.1.79.jar returned status 404
0.1.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.80/odata-client-parent-0.1.80.jar returned status 404
0.1.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.81/odata-client-parent-0.1.81.jar returned status 404
0.1.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.82/odata-client-parent-0.1.82.jar returned status 404
0.1.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.83/odata-client-parent-0.1.83.jar returned status 404
0.1.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.84/odata-client-parent-0.1.84.jar returned status 404
0.1.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.85/odata-client-parent-0.1.85.jar returned status 404
0.1.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.86/odata-client-parent-0.1.86.jar returned status 404
0.1.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.87/odata-client-parent-0.1.87.jar returned status 404
0.1.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.88/odata-client-parent-0.1.88.jar returned status 404
0.1.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.89/odata-client-parent-0.1.89.jar returned status 404
0.1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.9/odata-client-parent-0.1.9.jar returned status 404
0.1.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.90/odata-client-parent-0.1.90.jar returned status 404
0.1.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.91/odata-client-parent-0.1.91.jar returned status 404
0.1.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.92/odata-client-parent-0.1.92.jar returned status 404
0.1.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.93/odata-client-parent-0.1.93.jar returned status 404
0.1.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.94/odata-client-parent-0.1.94.jar returned status 404
0.1.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.95/odata-client-parent-0.1.95.jar returned status 404
0.1.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.97/odata-client-parent-0.1.97.jar returned status 404
0.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.0/odata-client-parent-0.2.0.jar returned status 404
0.2.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.1/odata-client-parent-0.2.1.jar returned status 404
0.2.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.2/odata-client-parent-0.2.2.jar returned status 404
0.2.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.3/odata-client-parent-0.2.3.jar returned status 404
0.2.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.4/odata-client-parent-0.2.4.jar returned status 404
0.2.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.5/odata-client-parent-0.2.5.jar returned status 404
0.2.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.2.6/odata-client-parent-0.2.6.jar returned status 404
