7.493.25	named	com.yahoo.vespa	vespa-http-client	2021-11-03T18:38:15Z	2.12.1
7.495.22	named	com.yahoo.vespa	vespa-http-client	2021-11-05T00:57:58Z	2.12.1
7.496.44	named	com.yahoo.vespa	vespa-http-client	2021-11-08T19:05:22Z	2.12.1
7.499.15	named	com.yahoo.vespa	vespa-http-client	2021-11-11T18:59:35Z	2.12.1
7.500.40	named	com.yahoo.vespa	vespa-http-client	2021-11-16T00:25:39Z	2.12.1
7.501.17	named	com.yahoo.vespa	vespa-http-client	2021-11-16T19:12:13Z	2.12.1
7.502.22	named	com.yahoo.vespa	vespa-http-client	2021-11-17T18:24:13Z	2.12.1
7.503.19	named	com.yahoo.vespa	vespa-http-client	2021-11-18T18:29:24Z	2.12.1
7.505.17	named	com.yahoo.vespa	vespa-http-client	2021-11-23T18:30:17Z	2.12.1
7.507.96	named	com.yahoo.vespa	vespa-http-client	2021-11-30T18:37:20Z	2.12.1
7.508.20	named	com.yahoo.vespa	vespa-http-client	2021-12-01T18:16:55Z	2.12.1
7.509.14	named	com.yahoo.vespa	vespa-http-client	2021-12-02T18:42:40Z	2.12.1
7.510.36	named	com.yahoo.vespa	vespa-http-client	2021-12-06T19:07:41Z	2.12.1
7.511.3	named	com.yahoo.vespa	vespa-http-client	2021-12-07T18:52:46Z	2.12.1
7.512.7	named	com.yahoo.vespa	vespa-http-client	2021-12-09T01:22:36Z	2.12.1
7.513.4	named	com.yahoo.vespa	vespa-http-client	2021-12-09T18:57:48Z	2.12.1
7.514.59	named	com.yahoo.vespa	vespa-http-client	2021-12-14T00:30:39Z	2.12.1
7.515.19	named	com.yahoo.vespa	vespa-http-client	2021-12-14T23:34:40Z	2.12.1
5.0.1	named	com.hazelcast.jet	hazelcast-jet-files-azure	2021-12-16T08:54:03Z	2.12.1
5.0.1	named	com.hazelcast.jet	hazelcast-jet-files-s3	2021-12-16T08:58:16Z	2.12.1
5.0.1	named	com.hazelcast.jet	hazelcast-jet-hadoop-all	2021-12-16T09:00:01Z	2.12.1
5.0.1	named	com.hazelcast.jet	hazelcast-jet-files-gcs	2021-12-16T09:00:45Z	2.12.1
7.517.18	named	com.yahoo.vespa	vespa-http-client	2021-12-16T19:07:34Z	2.12.1
7.518.53	named	com.yahoo.vespa	vespa-http-client	2021-12-20T18:41:04Z	2.12.1
5.0.2	named	com.hazelcast.jet	hazelcast-jet-files-gcs	2021-12-21T08:22:54Z	2.12.1
5.0.2	named	com.hazelcast.jet	hazelcast-jet-files-s3	2021-12-21T08:25:50Z	2.12.1
5.0.2	named	com.hazelcast.jet	hazelcast-jet-files-azure	2021-12-21T08:29:02Z	2.12.1
5.0.2	named	com.hazelcast.jet	hazelcast-jet-hadoop-all	2021-12-21T08:30:00Z	2.12.1
7.519.16	named	com.yahoo.vespa	vespa-http-client	2021-12-21T18:30:57Z	2.12.6
7.520.3	named	com.yahoo.vespa	vespa-http-client	2021-12-22T18:40:54Z	2.12.6
7.522.16	named	com.yahoo.vespa	vespa-http-client	2022-01-06T06:50:58Z	2.12.6
7.523.17	named	com.yahoo.vespa	vespa-http-client	2022-01-06T19:20:53Z	2.12.6
7.524.43	named	com.yahoo.vespa	vespa-http-client	2022-01-11T00:37:04Z	2.12.6
7.525.28	named	com.yahoo.vespa	vespa-http-client	2022-01-11T18:03:04Z	2.12.6
7.526.8	named	com.yahoo.vespa	vespa-http-client	2022-01-12T18:26:11Z	2.12.6
7.527.20	named	com.yahoo.vespa	vespa-http-client	2022-01-13T23:02:26Z	2.12.6
7.528.38	named	com.yahoo.vespa	vespa-http-client	2022-01-17T18:52:02Z	2.12.6
7.529.2	named	com.yahoo.vespa	vespa-http-client	2022-01-18T18:32:55Z	2.12.6
7.531.17	named	com.yahoo.vespa	vespa-http-client	2022-01-20T18:26:51Z	2.12.6
7.532.27	named	com.yahoo.vespa	vespa-http-client	2022-01-24T18:37:02Z	2.12.6
7.533.16	named	com.yahoo.vespa	vespa-http-client	2022-01-25T19:04:03Z	2.12.6
7.534.29	named	com.yahoo.vespa	vespa-http-client	2022-01-28T01:02:47Z	2.12.6
7.536.19	named	com.yahoo.vespa	vespa-http-client	2022-02-02T12:31:31Z	2.12.6
7.537.15	named	com.yahoo.vespa	vespa-http-client	2022-02-03T01:07:30Z	2.12.6
7.538.1	named	com.yahoo.vespa	vespa-http-client	2022-02-03T18:39:53Z	2.12.6
4.5.4	named	com.hazelcast.jet	hazelcast-jet-files-azure	2022-12-09T11:52:27Z	2.14.1
4.5.4	named	com.hazelcast.jet	hazelcast-jet-hadoop-all	2022-12-09T11:54:16Z	2.14.1
4.5.4	named	com.hazelcast.jet	hazelcast-jet-files-gcs	2022-12-09T11:54:21Z	2.14.1
4.5.4	named	com.hazelcast.jet	hazelcast-jet-files-s3	2022-12-09T11:54:25Z	2.14.1
0.9.5	named	net.sansa-stack	sansa-spark-jakarta_2.12	2024-04-18T11:31:37Z	2.12.7
spark3.5.2-scala2.13-1.0.0	named	io.github.jaihind213	spark-set-udaf	2025-05-05T10:13:37Z	2.12.7
spark3.5.2-scala2.13-1.0.1	named	io.github.jaihind213	spark-set-udaf	2025-05-05T12:51:24Z	2.12.7
spark3.5.2-scala2.13-1.0.1-jdk11	named	io.github.jaihind213	spark-set-udaf	2025-05-05T12:54:03Z	2.12.7
