0.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/0.1.5/mvn-defaults-0.1.5.jar returned status 404
3.12.132			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.132/mvn-defaults-3.12.132.jar returned status 404
3.12.133			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.133/mvn-defaults-3.12.133.jar returned status 404
3.12.134			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.134/mvn-defaults-3.12.134.jar returned status 404
3.12.135			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.135/mvn-defaults-3.12.135.jar returned status 404
3.12.136			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.136/mvn-defaults-3.12.136.jar returned status 404
3.12.137			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.137/mvn-defaults-3.12.137.jar returned status 404
3.12.138			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.138/mvn-defaults-3.12.138.jar returned status 404
3.12.139			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.139/mvn-defaults-3.12.139.jar returned status 404
3.12.140			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.140/mvn-defaults-3.12.140.jar returned status 404
3.12.141			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.141/mvn-defaults-3.12.141.jar returned status 404
3.12.142			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.142/mvn-defaults-3.12.142.jar returned status 404
3.12.143			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.143/mvn-defaults-3.12.143.jar returned status 404
3.12.144			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.144/mvn-defaults-3.12.144.jar returned status 404
3.12.146			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.146/mvn-defaults-3.12.146.jar returned status 404
3.12.147			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.147/mvn-defaults-3.12.147.jar returned status 404
3.12.148			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.148/mvn-defaults-3.12.148.jar returned status 404
3.12.149			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.149/mvn-defaults-3.12.149.jar returned status 404
3.12.150			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.150/mvn-defaults-3.12.150.jar returned status 404
3.12.151			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.151/mvn-defaults-3.12.151.jar returned status 404
3.12.152			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.152/mvn-defaults-3.12.152.jar returned status 404
3.12.153			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.153/mvn-defaults-3.12.153.jar returned status 404
3.12.154			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.154/mvn-defaults-3.12.154.jar returned status 404
3.12.155			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.155/mvn-defaults-3.12.155.jar returned status 404
3.12.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.17/mvn-defaults-3.12.17.jar returned status 404
3.12.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.19/mvn-defaults-3.12.19.jar returned status 404
3.12.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.2/mvn-defaults-3.12.2.jar returned status 404
3.12.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.20/mvn-defaults-3.12.20.jar returned status 404
3.12.200			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.200/mvn-defaults-3.12.200.jar returned status 404
3.12.201			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.201/mvn-defaults-3.12.201.jar returned status 404
3.12.202			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.202/mvn-defaults-3.12.202.jar returned status 404
3.12.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.21/mvn-defaults-3.12.21.jar returned status 404
3.12.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.22/mvn-defaults-3.12.22.jar returned status 404
3.12.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.23/mvn-defaults-3.12.23.jar returned status 404
3.12.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.24/mvn-defaults-3.12.24.jar returned status 404
3.12.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.25/mvn-defaults-3.12.25.jar returned status 404
3.12.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.26/mvn-defaults-3.12.26.jar returned status 404
3.12.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.27/mvn-defaults-3.12.27.jar returned status 404
3.12.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.28/mvn-defaults-3.12.28.jar returned status 404
3.12.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.29/mvn-defaults-3.12.29.jar returned status 404
3.12.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.30/mvn-defaults-3.12.30.jar returned status 404
3.12.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.31/mvn-defaults-3.12.31.jar returned status 404
3.12.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.32/mvn-defaults-3.12.32.jar returned status 404
3.12.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.34/mvn-defaults-3.12.34.jar returned status 404
3.12.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.35/mvn-defaults-3.12.35.jar returned status 404
3.12.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.36/mvn-defaults-3.12.36.jar returned status 404
3.12.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.37/mvn-defaults-3.12.37.jar returned status 404
3.12.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.38/mvn-defaults-3.12.38.jar returned status 404
3.12.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.39/mvn-defaults-3.12.39.jar returned status 404
3.12.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.41/mvn-defaults-3.12.41.jar returned status 404
3.12.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.43/mvn-defaults-3.12.43.jar returned status 404
3.12.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.44/mvn-defaults-3.12.44.jar returned status 404
3.12.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.45/mvn-defaults-3.12.45.jar returned status 404
3.12.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.46/mvn-defaults-3.12.46.jar returned status 404
3.12.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.47/mvn-defaults-3.12.47.jar returned status 404
3.12.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.48/mvn-defaults-3.12.48.jar returned status 404
3.12.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.52/mvn-defaults-3.12.52.jar returned status 404
3.12.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.53/mvn-defaults-3.12.53.jar returned status 404
3.12.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.54/mvn-defaults-3.12.54.jar returned status 404
3.12.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.55/mvn-defaults-3.12.55.jar returned status 404
3.12.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.60/mvn-defaults-3.12.60.jar returned status 404
3.12.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.61/mvn-defaults-3.12.61.jar returned status 404
3.12.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.62/mvn-defaults-3.12.62.jar returned status 404
3.12.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.66/mvn-defaults-3.12.66.jar returned status 404
3.12.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.67/mvn-defaults-3.12.67.jar returned status 404
3.12.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.70/mvn-defaults-3.12.70.jar returned status 404
3.12.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.71/mvn-defaults-3.12.71.jar returned status 404
3.12.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.72/mvn-defaults-3.12.72.jar returned status 404
3.12.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.73/mvn-defaults-3.12.73.jar returned status 404
3.12.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.74/mvn-defaults-3.12.74.jar returned status 404
3.12.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.75/mvn-defaults-3.12.75.jar returned status 404
3.12.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.76/mvn-defaults-3.12.76.jar returned status 404
3.12.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.77/mvn-defaults-3.12.77.jar returned status 404
3.12.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.78/mvn-defaults-3.12.78.jar returned status 404
3.12.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.79/mvn-defaults-3.12.79.jar returned status 404
3.12.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.81/mvn-defaults-3.12.81.jar returned status 404
3.12.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.82/mvn-defaults-3.12.82.jar returned status 404
3.12.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.83/mvn-defaults-3.12.83.jar returned status 404
3.12.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.84/mvn-defaults-3.12.84.jar returned status 404
3.12.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.85/mvn-defaults-3.12.85.jar returned status 404
3.12.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.86/mvn-defaults-3.12.86.jar returned status 404
3.12.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.87/mvn-defaults-3.12.87.jar returned status 404
3.12.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.88/mvn-defaults-3.12.88.jar returned status 404
3.12.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.89/mvn-defaults-3.12.89.jar returned status 404
3.12.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.90/mvn-defaults-3.12.90.jar returned status 404
3.12.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.91/mvn-defaults-3.12.91.jar returned status 404
3.12.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.92/mvn-defaults-3.12.92.jar returned status 404
3.12.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.93/mvn-defaults-3.12.93.jar returned status 404
3.12.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.94/mvn-defaults-3.12.94.jar returned status 404
3.12.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.95/mvn-defaults-3.12.95.jar returned status 404
3.12.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.96/mvn-defaults-3.12.96.jar returned status 404
3.12.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.97/mvn-defaults-3.12.97.jar returned status 404
3.12.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.98/mvn-defaults-3.12.98.jar returned status 404
3.12.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/3.12.99/mvn-defaults-3.12.99.jar returned status 404
4.15.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.100/mvn-defaults-4.15.100.jar returned status 404
4.15.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.101/mvn-defaults-4.15.101.jar returned status 404
4.15.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.102/mvn-defaults-4.15.102.jar returned status 404
4.15.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.31/mvn-defaults-4.15.31.jar returned status 404
4.15.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.33/mvn-defaults-4.15.33.jar returned status 404
4.15.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.34/mvn-defaults-4.15.34.jar returned status 404
4.15.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.35/mvn-defaults-4.15.35.jar returned status 404
4.15.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.36/mvn-defaults-4.15.36.jar returned status 404
4.15.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.37/mvn-defaults-4.15.37.jar returned status 404
4.15.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.38/mvn-defaults-4.15.38.jar returned status 404
4.15.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.39/mvn-defaults-4.15.39.jar returned status 404
4.15.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.40/mvn-defaults-4.15.40.jar returned status 404
4.15.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.41/mvn-defaults-4.15.41.jar returned status 404
4.15.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.42/mvn-defaults-4.15.42.jar returned status 404
4.15.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.43/mvn-defaults-4.15.43.jar returned status 404
4.15.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.44/mvn-defaults-4.15.44.jar returned status 404
4.15.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.45/mvn-defaults-4.15.45.jar returned status 404
4.15.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.46/mvn-defaults-4.15.46.jar returned status 404
4.15.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.47/mvn-defaults-4.15.47.jar returned status 404
4.15.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.48/mvn-defaults-4.15.48.jar returned status 404
4.15.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.49/mvn-defaults-4.15.49.jar returned status 404
4.15.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.50/mvn-defaults-4.15.50.jar returned status 404
4.15.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.52/mvn-defaults-4.15.52.jar returned status 404
4.15.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.53/mvn-defaults-4.15.53.jar returned status 404
4.15.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.54/mvn-defaults-4.15.54.jar returned status 404
4.15.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.55/mvn-defaults-4.15.55.jar returned status 404
4.15.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.56/mvn-defaults-4.15.56.jar returned status 404
4.15.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.57/mvn-defaults-4.15.57.jar returned status 404
4.15.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.58/mvn-defaults-4.15.58.jar returned status 404
4.15.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.59/mvn-defaults-4.15.59.jar returned status 404
4.15.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.60/mvn-defaults-4.15.60.jar returned status 404
4.15.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.61/mvn-defaults-4.15.61.jar returned status 404
4.15.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.62/mvn-defaults-4.15.62.jar returned status 404
4.15.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.63/mvn-defaults-4.15.63.jar returned status 404
4.15.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.64/mvn-defaults-4.15.64.jar returned status 404
4.15.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.70/mvn-defaults-4.15.70.jar returned status 404
4.15.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.72/mvn-defaults-4.15.72.jar returned status 404
4.15.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.82/mvn-defaults-4.15.82.jar returned status 404
4.15.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.83/mvn-defaults-4.15.83.jar returned status 404
4.15.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.84/mvn-defaults-4.15.84.jar returned status 404
4.15.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/nosqlbench/mvn-defaults/4.15.85/mvn-defaults-4.15.85.jar returned status 404
