0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/0.0.1/groobee-sdk-message-0.0.1.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.21/groobee-sdk-message-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.22/groobee-sdk-message-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.23/groobee-sdk-message-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.24/groobee-sdk-message-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.25/groobee-sdk-message-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.26/groobee-sdk-message-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.27/groobee-sdk-message-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.28/groobee-sdk-message-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.29/groobee-sdk-message-1.0.29.jar returned status 404
1.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.3/groobee-sdk-message-1.0.3.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.30/groobee-sdk-message-1.0.30.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.31/groobee-sdk-message-1.0.31.jar returned status 404
1.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.32/groobee-sdk-message-1.0.32.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.33/groobee-sdk-message-1.0.33.jar returned status 404
1.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.34/groobee-sdk-message-1.0.34.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.35/groobee-sdk-message-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.36/groobee-sdk-message-1.0.36.jar returned status 404
1.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.37/groobee-sdk-message-1.0.37.jar returned status 404
1.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.38/groobee-sdk-message-1.0.38.jar returned status 404
1.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.39/groobee-sdk-message-1.0.39.jar returned status 404
1.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.4/groobee-sdk-message-1.0.4.jar returned status 404
1.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.40/groobee-sdk-message-1.0.40.jar returned status 404
1.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.41/groobee-sdk-message-1.0.41.jar returned status 404
1.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.42/groobee-sdk-message-1.0.42.jar returned status 404
1.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.43/groobee-sdk-message-1.0.43.jar returned status 404
1.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.44/groobee-sdk-message-1.0.44.jar returned status 404
1.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.45/groobee-sdk-message-1.0.45.jar returned status 404
1.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.46/groobee-sdk-message-1.0.46.jar returned status 404
1.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.47/groobee-sdk-message-1.0.47.jar returned status 404
1.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.48/groobee-sdk-message-1.0.48.jar returned status 404
1.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.49/groobee-sdk-message-1.0.49.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.5/groobee-sdk-message-1.0.5.jar returned status 404
1.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.50/groobee-sdk-message-1.0.50.jar returned status 404
1.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.51/groobee-sdk-message-1.0.51.jar returned status 404
1.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.52/groobee-sdk-message-1.0.52.jar returned status 404
1.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.53/groobee-sdk-message-1.0.53.jar returned status 404
1.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.54/groobee-sdk-message-1.0.54.jar returned status 404
1.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.55/groobee-sdk-message-1.0.55.jar returned status 404
1.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.56/groobee-sdk-message-1.0.56.jar returned status 404
1.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.57/groobee-sdk-message-1.0.57.jar returned status 404
1.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.58/groobee-sdk-message-1.0.58.jar returned status 404
1.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.59/groobee-sdk-message-1.0.59.jar returned status 404
1.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.6/groobee-sdk-message-1.0.6.jar returned status 404
1.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.60/groobee-sdk-message-1.0.60.jar returned status 404
1.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.61/groobee-sdk-message-1.0.61.jar returned status 404
1.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.62/groobee-sdk-message-1.0.62.jar returned status 404
1.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.63/groobee-sdk-message-1.0.63.jar returned status 404
1.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.64/groobee-sdk-message-1.0.64.jar returned status 404
1.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.65/groobee-sdk-message-1.0.65.jar returned status 404
1.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.66/groobee-sdk-message-1.0.66.jar returned status 404
1.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.67/groobee-sdk-message-1.0.67.jar returned status 404
1.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.68/groobee-sdk-message-1.0.68.jar returned status 404
1.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.69/groobee-sdk-message-1.0.69.jar returned status 404
1.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.7/groobee-sdk-message-1.0.7.jar returned status 404
1.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.70/groobee-sdk-message-1.0.70.jar returned status 404
1.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.71/groobee-sdk-message-1.0.71.jar returned status 404
1.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.72/groobee-sdk-message-1.0.72.jar returned status 404
1.0.72-cicdtest			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.72-cicdtest/groobee-sdk-message-1.0.72-cicdtest.jar returned status 404
1.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.74/groobee-sdk-message-1.0.74.jar returned status 404
1.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.75/groobee-sdk-message-1.0.75.jar returned status 404
1.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.76/groobee-sdk-message-1.0.76.jar returned status 404
1.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.77/groobee-sdk-message-1.0.77.jar returned status 404
1.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.78/groobee-sdk-message-1.0.78.jar returned status 404
1.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.79/groobee-sdk-message-1.0.79.jar returned status 404
1.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.8/groobee-sdk-message-1.0.8.jar returned status 404
1.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.80/groobee-sdk-message-1.0.80.jar returned status 404
1.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.81/groobee-sdk-message-1.0.81.jar returned status 404
1.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.82/groobee-sdk-message-1.0.82.jar returned status 404
1.0.83		2026-05-28T04:32:47Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.83/groobee-sdk-message-1.0.83.jar returned status 404
1.0.84		2026-06-11T06:05:37Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.84/groobee-sdk-message-1.0.84.jar returned status 404
1.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.85/groobee-sdk-message-1.0.85.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/groobee/message/groobee-sdk-message/1.0.9/groobee-sdk-message-1.0.9.jar returned status 404
