0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.1/quarkus-platform-bom-tools-parent-0.0.1.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.13/quarkus-platform-bom-tools-parent-0.0.13.jar returned status 404
0.0.130			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.130/quarkus-platform-bom-tools-parent-0.0.130.jar returned status 404
0.0.131		2026-05-26T14:45:04Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.131/quarkus-platform-bom-tools-parent-0.0.131.jar returned status 404
0.0.132		2026-06-12T13:36:43Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.132/quarkus-platform-bom-tools-parent-0.0.132.jar returned status 404
0.0.133			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.133/quarkus-platform-bom-tools-parent-0.0.133.jar returned status 404
0.0.134		2026-08-11T12:51:00Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.134/quarkus-platform-bom-tools-parent-0.0.134.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.14/quarkus-platform-bom-tools-parent-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.15/quarkus-platform-bom-tools-parent-0.0.15.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.16/quarkus-platform-bom-tools-parent-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.17/quarkus-platform-bom-tools-parent-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.18/quarkus-platform-bom-tools-parent-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.19/quarkus-platform-bom-tools-parent-0.0.19.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.2/quarkus-platform-bom-tools-parent-0.0.2.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.20/quarkus-platform-bom-tools-parent-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.21/quarkus-platform-bom-tools-parent-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.22/quarkus-platform-bom-tools-parent-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.23/quarkus-platform-bom-tools-parent-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.24/quarkus-platform-bom-tools-parent-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.25/quarkus-platform-bom-tools-parent-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.26/quarkus-platform-bom-tools-parent-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.27/quarkus-platform-bom-tools-parent-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.28/quarkus-platform-bom-tools-parent-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.29/quarkus-platform-bom-tools-parent-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.3/quarkus-platform-bom-tools-parent-0.0.3.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.30/quarkus-platform-bom-tools-parent-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.31/quarkus-platform-bom-tools-parent-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.32/quarkus-platform-bom-tools-parent-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.33/quarkus-platform-bom-tools-parent-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.34/quarkus-platform-bom-tools-parent-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.35/quarkus-platform-bom-tools-parent-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.36/quarkus-platform-bom-tools-parent-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.37/quarkus-platform-bom-tools-parent-0.0.37.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.38/quarkus-platform-bom-tools-parent-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.39/quarkus-platform-bom-tools-parent-0.0.39.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.4/quarkus-platform-bom-tools-parent-0.0.4.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.40/quarkus-platform-bom-tools-parent-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.41/quarkus-platform-bom-tools-parent-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.42/quarkus-platform-bom-tools-parent-0.0.42.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.43/quarkus-platform-bom-tools-parent-0.0.43.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.44/quarkus-platform-bom-tools-parent-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.45/quarkus-platform-bom-tools-parent-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.46/quarkus-platform-bom-tools-parent-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.47/quarkus-platform-bom-tools-parent-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.48/quarkus-platform-bom-tools-parent-0.0.48.jar returned status 404
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.49/quarkus-platform-bom-tools-parent-0.0.49.jar returned status 404
0.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.5/quarkus-platform-bom-tools-parent-0.0.5.jar returned status 404
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.50/quarkus-platform-bom-tools-parent-0.0.50.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.51/quarkus-platform-bom-tools-parent-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.52/quarkus-platform-bom-tools-parent-0.0.52.jar returned status 404
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.53/quarkus-platform-bom-tools-parent-0.0.53.jar returned status 404
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.54/quarkus-platform-bom-tools-parent-0.0.54.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.55/quarkus-platform-bom-tools-parent-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.56/quarkus-platform-bom-tools-parent-0.0.56.jar returned status 404
0.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.57/quarkus-platform-bom-tools-parent-0.0.57.jar returned status 404
0.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.58/quarkus-platform-bom-tools-parent-0.0.58.jar returned status 404
0.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.59/quarkus-platform-bom-tools-parent-0.0.59.jar returned status 404
0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.6/quarkus-platform-bom-tools-parent-0.0.6.jar returned status 404
0.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.60/quarkus-platform-bom-tools-parent-0.0.60.jar returned status 404
0.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.61/quarkus-platform-bom-tools-parent-0.0.61.jar returned status 404
0.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.62/quarkus-platform-bom-tools-parent-0.0.62.jar returned status 404
0.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.63/quarkus-platform-bom-tools-parent-0.0.63.jar returned status 404
0.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.64/quarkus-platform-bom-tools-parent-0.0.64.jar returned status 404
0.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.65/quarkus-platform-bom-tools-parent-0.0.65.jar returned status 404
0.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.66/quarkus-platform-bom-tools-parent-0.0.66.jar returned status 404
0.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.67/quarkus-platform-bom-tools-parent-0.0.67.jar returned status 404
0.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.68/quarkus-platform-bom-tools-parent-0.0.68.jar returned status 404
0.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.69/quarkus-platform-bom-tools-parent-0.0.69.jar returned status 404
0.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.7/quarkus-platform-bom-tools-parent-0.0.7.jar returned status 404
0.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.70/quarkus-platform-bom-tools-parent-0.0.70.jar returned status 404
0.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.71/quarkus-platform-bom-tools-parent-0.0.71.jar returned status 404
0.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.72/quarkus-platform-bom-tools-parent-0.0.72.jar returned status 404
0.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.73/quarkus-platform-bom-tools-parent-0.0.73.jar returned status 404
0.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.74/quarkus-platform-bom-tools-parent-0.0.74.jar returned status 404
0.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.75/quarkus-platform-bom-tools-parent-0.0.75.jar returned status 404
0.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.76/quarkus-platform-bom-tools-parent-0.0.76.jar returned status 404
0.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.77/quarkus-platform-bom-tools-parent-0.0.77.jar returned status 404
0.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.78/quarkus-platform-bom-tools-parent-0.0.78.jar returned status 404
0.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.79/quarkus-platform-bom-tools-parent-0.0.79.jar returned status 404
0.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.8/quarkus-platform-bom-tools-parent-0.0.8.jar returned status 404
0.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.80/quarkus-platform-bom-tools-parent-0.0.80.jar returned status 404
0.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.81/quarkus-platform-bom-tools-parent-0.0.81.jar returned status 404
0.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.82/quarkus-platform-bom-tools-parent-0.0.82.jar returned status 404
0.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.83/quarkus-platform-bom-tools-parent-0.0.83.jar returned status 404
0.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.84/quarkus-platform-bom-tools-parent-0.0.84.jar returned status 404
0.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.85/quarkus-platform-bom-tools-parent-0.0.85.jar returned status 404
0.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.86/quarkus-platform-bom-tools-parent-0.0.86.jar returned status 404
0.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.87/quarkus-platform-bom-tools-parent-0.0.87.jar returned status 404
0.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.88/quarkus-platform-bom-tools-parent-0.0.88.jar returned status 404
0.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.89/quarkus-platform-bom-tools-parent-0.0.89.jar returned status 404
0.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.9/quarkus-platform-bom-tools-parent-0.0.9.jar returned status 404
0.0.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.90/quarkus-platform-bom-tools-parent-0.0.90.jar returned status 404
0.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.91/quarkus-platform-bom-tools-parent-0.0.91.jar returned status 404
0.0.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.92/quarkus-platform-bom-tools-parent-0.0.92.jar returned status 404
0.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.93/quarkus-platform-bom-tools-parent-0.0.93.jar returned status 404
0.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.94/quarkus-platform-bom-tools-parent-0.0.94.jar returned status 404
0.0.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.95/quarkus-platform-bom-tools-parent-0.0.95.jar returned status 404
0.0.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.96/quarkus-platform-bom-tools-parent-0.0.96.jar returned status 404
0.0.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.97/quarkus-platform-bom-tools-parent-0.0.97.jar returned status 404
0.0.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.98/quarkus-platform-bom-tools-parent-0.0.98.jar returned status 404
0.0.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-tools-parent/0.0.99/quarkus-platform-bom-tools-parent-0.0.99.jar returned status 404
