0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.1/taboo-ui-core-0.0.1.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.24/taboo-ui-core-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.25/taboo-ui-core-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.26/taboo-ui-core-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.27/taboo-ui-core-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.28/taboo-ui-core-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.29/taboo-ui-core-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.3/taboo-ui-core-0.0.3.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.30/taboo-ui-core-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.31/taboo-ui-core-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.32/taboo-ui-core-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.33/taboo-ui-core-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.34/taboo-ui-core-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.35/taboo-ui-core-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.36/taboo-ui-core-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.37/taboo-ui-core-0.0.37.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.38/taboo-ui-core-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.39/taboo-ui-core-0.0.39.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.4/taboo-ui-core-0.0.4.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.40/taboo-ui-core-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.41/taboo-ui-core-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.42/taboo-ui-core-0.0.42.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.43/taboo-ui-core-0.0.43.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.44/taboo-ui-core-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.45/taboo-ui-core-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.46/taboo-ui-core-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.47/taboo-ui-core-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.48/taboo-ui-core-0.0.48.jar returned status 404
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.49/taboo-ui-core-0.0.49.jar returned status 404
0.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.5/taboo-ui-core-0.0.5.jar returned status 404
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.50/taboo-ui-core-0.0.50.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.51/taboo-ui-core-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.52/taboo-ui-core-0.0.52.jar returned status 404
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.53/taboo-ui-core-0.0.53.jar returned status 404
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.54/taboo-ui-core-0.0.54.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.55/taboo-ui-core-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.56/taboo-ui-core-0.0.56.jar returned status 404
0.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.57/taboo-ui-core-0.0.57.jar returned status 404
0.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.58/taboo-ui-core-0.0.58.jar returned status 404
0.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.59/taboo-ui-core-0.0.59.jar returned status 404
0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.6/taboo-ui-core-0.0.6.jar returned status 404
0.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.60/taboo-ui-core-0.0.60.jar returned status 404
0.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.61/taboo-ui-core-0.0.61.jar returned status 404
0.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.62/taboo-ui-core-0.0.62.jar returned status 404
0.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.7/taboo-ui-core-0.0.7.jar returned status 404
0.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.8/taboo-ui-core-0.0.8.jar returned status 404
0.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/hanjunkwon/taboo-ui-core/0.0.9/taboo-ui-core-0.0.9.jar returned status 404
