1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1/antsomi-1.1.jar returned status 404
1.1.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.38/antsomi-1.1.38.jar returned status 404
1.1.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.39/antsomi-1.1.39.jar returned status 404
1.1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.4/antsomi-1.1.4.jar returned status 404
1.1.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.40/antsomi-1.1.40.jar returned status 404
1.1.40-beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.40-beta/antsomi-1.1.40-beta.jar returned status 404
1.1.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.41/antsomi-1.1.41.jar returned status 404
1.1.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.42/antsomi-1.1.42.jar returned status 404
1.1.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.43/antsomi-1.1.43.jar returned status 404
1.1.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.44/antsomi-1.1.44.jar returned status 404
1.1.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.45/antsomi-1.1.45.jar returned status 404
1.1.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.46/antsomi-1.1.46.jar returned status 404
1.1.46-beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.46-beta/antsomi-1.1.46-beta.jar returned status 404
1.1.46-beta-01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.46-beta-01/antsomi-1.1.46-beta-01.jar returned status 404
1.1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.47/antsomi-1.1.47.jar returned status 404
1.1.47.beta-01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.47.beta-01/antsomi-1.1.47.beta-01.jar returned status 404
1.1.47.beta-02			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.47.beta-02/antsomi-1.1.47.beta-02.jar returned status 404
1.1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.48/antsomi-1.1.48.jar returned status 404
1.1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.49/antsomi-1.1.49.jar returned status 404
1.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.5/antsomi-1.1.5.jar returned status 404
1.1.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.50/antsomi-1.1.50.jar returned status 404
1.1.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.51/antsomi-1.1.51.jar returned status 404
1.1.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.52/antsomi-1.1.52.jar returned status 404
1.1.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.53/antsomi-1.1.53.jar returned status 404
1.1.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.54/antsomi-1.1.54.jar returned status 404
1.1.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.55/antsomi-1.1.55.jar returned status 404
1.1.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.56/antsomi-1.1.56.jar returned status 404
1.1.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.57/antsomi-1.1.57.jar returned status 404
1.1.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.58/antsomi-1.1.58.jar returned status 404
1.1.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.59/antsomi-1.1.59.jar returned status 404
1.1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.6/antsomi-1.1.6.jar returned status 404
1.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.60/antsomi-1.1.60.jar returned status 404
1.1.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.61/antsomi-1.1.61.jar returned status 404
1.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.62/antsomi-1.1.62.jar returned status 404
1.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.63/antsomi-1.1.63.jar returned status 404
1.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.64/antsomi-1.1.64.jar returned status 404
1.1.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.65/antsomi-1.1.65.jar returned status 404
1.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.66/antsomi-1.1.66.jar returned status 404
1.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.67/antsomi-1.1.67.jar returned status 404
1.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.68/antsomi-1.1.68.jar returned status 404
1.1.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.69/antsomi-1.1.69.jar returned status 404
1.1.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.70/antsomi-1.1.70.jar returned status 404
1.1.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.71/antsomi-1.1.71.jar returned status 404
1.1.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.72/antsomi-1.1.72.jar returned status 404
1.1.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.73/antsomi-1.1.73.jar returned status 404
1.1.74		2026-05-27T07:54:03Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.74/antsomi-1.1.74.jar returned status 404
1.1.75		2026-05-28T11:10:44Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.75/antsomi-1.1.75.jar returned status 404
1.1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.8/antsomi-1.1.8.jar returned status 404
1.1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antsomi/antsomi/1.1.9/antsomi-1.1.9.jar returned status 404
