1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/1.0.0/smartdigimkttech-sdk-1.0.0.jar returned status 404
6.5.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.47/smartdigimkttech-sdk-6.5.47.jar returned status 404
6.5.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.48/smartdigimkttech-sdk-6.5.48.jar returned status 404
6.5.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.49/smartdigimkttech-sdk-6.5.49.jar returned status 404
6.5.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.50/smartdigimkttech-sdk-6.5.50.jar returned status 404
6.5.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.51/smartdigimkttech-sdk-6.5.51.jar returned status 404
6.5.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.52/smartdigimkttech-sdk-6.5.52.jar returned status 404
6.5.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.53/smartdigimkttech-sdk-6.5.53.jar returned status 404
6.5.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.54/smartdigimkttech-sdk-6.5.54.jar returned status 404
6.5.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.55/smartdigimkttech-sdk-6.5.55.jar returned status 404
6.5.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.56/smartdigimkttech-sdk-6.5.56.jar returned status 404
6.5.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.60/smartdigimkttech-sdk-6.5.60.jar returned status 404
6.5.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.63/smartdigimkttech-sdk-6.5.63.jar returned status 404
6.5.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.64/smartdigimkttech-sdk-6.5.64.jar returned status 404
6.5.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.65/smartdigimkttech-sdk-6.5.65.jar returned status 404
6.5.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.66/smartdigimkttech-sdk-6.5.66.jar returned status 404
6.5.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.67/smartdigimkttech-sdk-6.5.67.jar returned status 404
6.5.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.68/smartdigimkttech-sdk-6.5.68.jar returned status 404
6.5.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.70/smartdigimkttech-sdk-6.5.70.jar returned status 404
6.5.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.72/smartdigimkttech-sdk-6.5.72.jar returned status 404
6.5.75		2026-06-26T11:42:21Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.75/smartdigimkttech-sdk-6.5.75.jar returned status 404
6.5.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.76/smartdigimkttech-sdk-6.5.76.jar returned status 404
