0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.1/carp-dependencies-0.0.1.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.38/carp-dependencies-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.39/carp-dependencies-0.0.39.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.4/carp-dependencies-0.0.4.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.40/carp-dependencies-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.41/carp-dependencies-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.42/carp-dependencies-0.0.42.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.43/carp-dependencies-0.0.43.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.44/carp-dependencies-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.45/carp-dependencies-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.46/carp-dependencies-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.47/carp-dependencies-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.48/carp-dependencies-0.0.48.jar returned status 404
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.49/carp-dependencies-0.0.49.jar returned status 404
0.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.5/carp-dependencies-0.0.5.jar returned status 404
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.50/carp-dependencies-0.0.50.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.51/carp-dependencies-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.52/carp-dependencies-0.0.52.jar returned status 404
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.53/carp-dependencies-0.0.53.jar returned status 404
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.54/carp-dependencies-0.0.54.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.55/carp-dependencies-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.56/carp-dependencies-0.0.56.jar returned status 404
0.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.57/carp-dependencies-0.0.57.jar returned status 404
0.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.58/carp-dependencies-0.0.58.jar returned status 404
0.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.59/carp-dependencies-0.0.59.jar returned status 404
0.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.60/carp-dependencies-0.0.60.jar returned status 404
0.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.61/carp-dependencies-0.0.61.jar returned status 404
0.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.62/carp-dependencies-0.0.62.jar returned status 404
0.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.63/carp-dependencies-0.0.63.jar returned status 404
0.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.64/carp-dependencies-0.0.64.jar returned status 404
0.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.65/carp-dependencies-0.0.65.jar returned status 404
0.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.66/carp-dependencies-0.0.66.jar returned status 404
0.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.67/carp-dependencies-0.0.67.jar returned status 404
0.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.68/carp-dependencies-0.0.68.jar returned status 404
0.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.69/carp-dependencies-0.0.69.jar returned status 404
0.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.70/carp-dependencies-0.0.70.jar returned status 404
0.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.71/carp-dependencies-0.0.71.jar returned status 404
0.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.72/carp-dependencies-0.0.72.jar returned status 404
0.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.73/carp-dependencies-0.0.73.jar returned status 404
0.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.74/carp-dependencies-0.0.74.jar returned status 404
0.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.75/carp-dependencies-0.0.75.jar returned status 404
0.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.76/carp-dependencies-0.0.76.jar returned status 404
0.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.77/carp-dependencies-0.0.77.jar returned status 404
0.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.78/carp-dependencies-0.0.78.jar returned status 404
0.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.79/carp-dependencies-0.0.79.jar returned status 404
0.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.80/carp-dependencies-0.0.80.jar returned status 404
0.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.81/carp-dependencies-0.0.81.jar returned status 404
0.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.82/carp-dependencies-0.0.82.jar returned status 404
0.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.83/carp-dependencies-0.0.83.jar returned status 404
0.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.84/carp-dependencies-0.0.84.jar returned status 404
0.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.85/carp-dependencies-0.0.85.jar returned status 404
0.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.86/carp-dependencies-0.0.86.jar returned status 404
0.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.87/carp-dependencies-0.0.87.jar returned status 404
0.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.88/carp-dependencies-0.0.88.jar returned status 404
0.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.89/carp-dependencies-0.0.89.jar returned status 404
