0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.1/carp-framework-0.0.1.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.27/carp-framework-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.28/carp-framework-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.29/carp-framework-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.3/carp-framework-0.0.3.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.30/carp-framework-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.31/carp-framework-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.32/carp-framework-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.33/carp-framework-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.34/carp-framework-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.35/carp-framework-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.36/carp-framework-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.37/carp-framework-0.0.37.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.38/carp-framework-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.39/carp-framework-0.0.39.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.4/carp-framework-0.0.4.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.40/carp-framework-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.41/carp-framework-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.42/carp-framework-0.0.42.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.43/carp-framework-0.0.43.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.44/carp-framework-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.45/carp-framework-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.46/carp-framework-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.47/carp-framework-0.0.47.jar returned status 404
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.48/carp-framework-0.0.48.jar returned status 404
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.49/carp-framework-0.0.49.jar returned status 404
0.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.5/carp-framework-0.0.5.jar returned status 404
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.50/carp-framework-0.0.50.jar returned status 404
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.51/carp-framework-0.0.51.jar returned status 404
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.52/carp-framework-0.0.52.jar returned status 404
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.53/carp-framework-0.0.53.jar returned status 404
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.54/carp-framework-0.0.54.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.55/carp-framework-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.56/carp-framework-0.0.56.jar returned status 404
0.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.57/carp-framework-0.0.57.jar returned status 404
0.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.58/carp-framework-0.0.58.jar returned status 404
0.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.59/carp-framework-0.0.59.jar returned status 404
0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.6/carp-framework-0.0.6.jar returned status 404
0.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.60/carp-framework-0.0.60.jar returned status 404
0.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.61/carp-framework-0.0.61.jar returned status 404
0.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.62/carp-framework-0.0.62.jar returned status 404
0.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.63/carp-framework-0.0.63.jar returned status 404
0.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.64/carp-framework-0.0.64.jar returned status 404
0.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.65/carp-framework-0.0.65.jar returned status 404
0.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.66/carp-framework-0.0.66.jar returned status 404
0.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.67/carp-framework-0.0.67.jar returned status 404
0.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.68/carp-framework-0.0.68.jar returned status 404
0.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.69/carp-framework-0.0.69.jar returned status 404
0.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.7/carp-framework-0.0.7.jar returned status 404
0.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.70/carp-framework-0.0.70.jar returned status 404
0.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.71/carp-framework-0.0.71.jar returned status 404
0.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.72/carp-framework-0.0.72.jar returned status 404
0.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.73/carp-framework-0.0.73.jar returned status 404
0.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.74/carp-framework-0.0.74.jar returned status 404
0.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.75/carp-framework-0.0.75.jar returned status 404
0.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.76/carp-framework-0.0.76.jar returned status 404
0.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.77/carp-framework-0.0.77.jar returned status 404
0.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.78/carp-framework-0.0.78.jar returned status 404
0.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.79/carp-framework-0.0.79.jar returned status 404
0.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.8/carp-framework-0.0.8.jar returned status 404
0.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.80/carp-framework-0.0.80.jar returned status 404
0.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.81/carp-framework-0.0.81.jar returned status 404
0.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.82/carp-framework-0.0.82.jar returned status 404
0.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.83/carp-framework-0.0.83.jar returned status 404
0.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.84/carp-framework-0.0.84.jar returned status 404
0.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.85/carp-framework-0.0.85.jar returned status 404
0.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.86/carp-framework-0.0.86.jar returned status 404
0.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.87/carp-framework-0.0.87.jar returned status 404
0.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.88/carp-framework-0.0.88.jar returned status 404
0.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.89/carp-framework-0.0.89.jar returned status 404
0.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.9/carp-framework-0.0.9.jar returned status 404
