3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.0/swagger-codegen-project-3.0.0.jar returned status 404
3.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.33/swagger-codegen-project-3.0.33.jar returned status 404
3.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.34/swagger-codegen-project-3.0.34.jar returned status 404
3.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.35/swagger-codegen-project-3.0.35.jar returned status 404
3.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.36/swagger-codegen-project-3.0.36.jar returned status 404
3.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.37/swagger-codegen-project-3.0.37.jar returned status 404
3.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.38/swagger-codegen-project-3.0.38.jar returned status 404
3.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.39/swagger-codegen-project-3.0.39.jar returned status 404
3.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.4/swagger-codegen-project-3.0.4.jar returned status 404
3.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.40/swagger-codegen-project-3.0.40.jar returned status 404
3.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.41/swagger-codegen-project-3.0.41.jar returned status 404
3.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.42/swagger-codegen-project-3.0.42.jar returned status 404
3.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.43/swagger-codegen-project-3.0.43.jar returned status 404
3.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.44/swagger-codegen-project-3.0.44.jar returned status 404
3.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.45/swagger-codegen-project-3.0.45.jar returned status 404
3.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.46/swagger-codegen-project-3.0.46.jar returned status 404
3.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.47/swagger-codegen-project-3.0.47.jar returned status 404
3.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.48/swagger-codegen-project-3.0.48.jar returned status 404
3.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.49/swagger-codegen-project-3.0.49.jar returned status 404
3.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.5/swagger-codegen-project-3.0.5.jar returned status 404
3.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.50/swagger-codegen-project-3.0.50.jar returned status 404
3.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.51/swagger-codegen-project-3.0.51.jar returned status 404
3.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.52/swagger-codegen-project-3.0.52.jar returned status 404
3.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.53/swagger-codegen-project-3.0.53.jar returned status 404
3.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.54/swagger-codegen-project-3.0.54.jar returned status 404
3.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.55/swagger-codegen-project-3.0.55.jar returned status 404
3.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.56/swagger-codegen-project-3.0.56.jar returned status 404
3.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.57/swagger-codegen-project-3.0.57.jar returned status 404
3.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.58/swagger-codegen-project-3.0.58.jar returned status 404
3.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.59/swagger-codegen-project-3.0.59.jar returned status 404
3.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.6/swagger-codegen-project-3.0.6.jar returned status 404
3.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.60/swagger-codegen-project-3.0.60.jar returned status 404
3.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.61/swagger-codegen-project-3.0.61.jar returned status 404
3.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.62/swagger-codegen-project-3.0.62.jar returned status 404
3.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.63/swagger-codegen-project-3.0.63.jar returned status 404
3.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.64/swagger-codegen-project-3.0.64.jar returned status 404
3.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.65/swagger-codegen-project-3.0.65.jar returned status 404
3.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.66/swagger-codegen-project-3.0.66.jar returned status 404
3.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.67/swagger-codegen-project-3.0.67.jar returned status 404
3.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.68/swagger-codegen-project-3.0.68.jar returned status 404
3.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.69/swagger-codegen-project-3.0.69.jar returned status 404
3.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.7/swagger-codegen-project-3.0.7.jar returned status 404
3.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.70/swagger-codegen-project-3.0.70.jar returned status 404
3.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.71/swagger-codegen-project-3.0.71.jar returned status 404
3.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.72/swagger-codegen-project-3.0.72.jar returned status 404
3.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.73/swagger-codegen-project-3.0.73.jar returned status 404
3.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.74/swagger-codegen-project-3.0.74.jar returned status 404
3.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.75/swagger-codegen-project-3.0.75.jar returned status 404
3.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.76/swagger-codegen-project-3.0.76.jar returned status 404
3.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.77/swagger-codegen-project-3.0.77.jar returned status 404
3.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.78/swagger-codegen-project-3.0.78.jar returned status 404
3.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.79/swagger-codegen-project-3.0.79.jar returned status 404
3.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.8/swagger-codegen-project-3.0.8.jar returned status 404
3.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.80/swagger-codegen-project-3.0.80.jar returned status 404
3.0.81		2026-05-18T12:47:29Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.81/swagger-codegen-project-3.0.81.jar returned status 404
3.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.9/swagger-codegen-project-3.0.9.jar returned status 404
