1.1.1.4-jre14	named	com.guicedee.services	jakarta.el	2021-03-30T00:54:23Z	1.1.1.4-jre14
1.1.1.5-jre15	named	com.guicedee.services	jakarta.el	2021-03-30T03:27:26Z	1.1.1.5-jre15
10.0.5	named	org.apache.tomcat	tomcat-el-api	2021-03-30T08:34:54Z	4.0
1.1.1.7-jre15	named	com.guicedee.services	jakarta.el	2021-04-08T01:51:45Z	1.1.1.7-jre15
1.1.1.7	named	com.guicedee.services	jakarta.el	2021-04-08T07:47:00Z	1.1.1.7
1.1.1.7-jre16	named	com.guicedee.services	jakarta.el	2021-04-08T15:02:24Z	1.1.1.7-jre16
1.1.1.7-jre8	named	com.guicedee.services	jakarta.el	2021-04-09T09:20:30Z	1.1.1.7-jre8
1.1.1.8-jre16	named	com.guicedee.services	jakarta.el	2021-04-18T12:00:25Z	1.1.1.8-jre16
1.1.1.8-jre15	named	com.guicedee.services	jakarta.el	2021-04-18T14:06:21Z	1.1.1.8-jre15
10.0.6	named	org.apache.tomcat	tomcat-el-api	2021-05-08T15:52:19Z	4.0
1.1.1.9-jre16	named	com.guicedee.services	jakarta.el	2021-06-03T08:42:36Z	1.1.1.9-jre16
1.1.1.9-jre15	named	com.guicedee.services	jakarta.el	2021-06-03T10:17:05Z	1.1.1.9-jre15
10.1.0-M1	named	org.apache.tomcat	tomcat-el-api	2021-06-08T15:14:20Z	5.0
10.0.7	named	org.apache.tomcat	tomcat-el-api	2021-06-08T17:28:22Z	4.0
10.1.0-M2	named	org.apache.tomcat	tomcat-el-api	2021-06-25T21:56:57Z	5.0
10.0.8	named	org.apache.tomcat	tomcat-el-api	2021-06-25T23:20:35Z	4.0
10.0.10	named	org.apache.tomcat	tomcat-el-api	2021-07-30T10:13:09Z	4.0
10.1.0-M4	named	org.apache.tomcat	tomcat-el-api	2021-08-03T19:09:02Z	5.0
1.2.0.0-jre16	named	com.guicedee.services	jakarta.el	2021-08-10T03:34:00Z	1.2.0.0-jre16
1.2.0.1-jre16	named	com.guicedee.services	jakarta.el	2021-08-30T09:51:18Z	1.2.0.1-jre16
1.2.0.1-jre15	named	com.guicedee.services	jakarta.el	2021-08-30T14:34:03Z	1.2.0.1-jre15
1.2.0.1-jre11	named	com.guicedee.services	jakarta.el	2021-08-31T09:43:03Z	1.2.0.1-jre11
10.1.0-M5	named	org.apache.tomcat	tomcat-el-api	2021-09-06T14:39:18Z	5.0
10.0.11	named	org.apache.tomcat	tomcat-el-api	2021-09-06T16:33:41Z	4.0
1.2.0.2-jre16	named	com.guicedee.services	jakarta.el	2021-09-08T10:09:34Z	1.2.0.2-jre16
1.2.0.3-jre17-rc1	named	com.guicedee.services	jakarta.el	2021-09-17T01:35:13Z	1.2.0.3-jre17-rc1
10.1.0-M6	named	org.apache.tomcat	tomcat-el-api	2021-09-28T11:47:55Z	5.0
10.0.12	named	org.apache.tomcat	tomcat-el-api	2021-09-28T13:50:28Z	4.0
10.1.0-M7	named	org.apache.tomcat	tomcat-el-api	2021-11-08T21:10:00Z	5.0
10.0.13	named	org.apache.tomcat	tomcat-el-api	2021-11-09T22:46:36Z	4.0
1.2.1.1-jre17	named	com.guicedee.services	jakarta.el	2021-11-11T14:34:21Z	1.2.1.1-jre17
1.2.1.2-jre17	named	com.guicedee.services	jakarta.el	2021-11-16T02:13:30Z	1.2.1.2-jre17
10.1.0-M8	named	org.apache.tomcat	tomcat-el-api	2021-12-02T13:54:31Z	5.0
10.0.14	named	org.apache.tomcat	tomcat-el-api	2021-12-02T22:17:25Z	4.0
10.1.0-M10	named	org.apache.tomcat	tomcat-el-api	2022-01-15T12:41:53Z	5.0
10.0.16	named	org.apache.tomcat	tomcat-el-api	2022-01-15T13:27:56Z	4.0
5.0.0-RC1	named	jakarta.el	jakarta.el-api	2022-01-19T14:09:46Z	5.0.0-RC1
1.2.2.1	named	com.guicedee.services	jakarta.el	2022-02-09T23:11:56Z	1.2.2.1
1.2.2.1-jre17	named	com.guicedee.services	jakarta.el	2022-02-10T15:35:53Z	1.2.2.1-jre17
10.1.0-M11	named	org.apache.tomcat	tomcat-el-api	2022-02-21T18:09:57Z	5.0
10.0.17	named	org.apache.tomcat	tomcat-el-api	2022-02-21T19:47:08Z	4.0
5.0.0	named	jakarta.el	jakarta.el-api	2022-02-25T10:03:14Z	5.0.0
10.1.0-M12	named	org.apache.tomcat	tomcat-el-api	2022-03-09T13:41:17Z	5.0
10.0.18	named	org.apache.tomcat	tomcat-el-api	2022-03-09T14:42:17Z	4.0
10.1.0-M14	named	org.apache.tomcat	tomcat-el-api	2022-03-31T13:46:44Z	5.0
10.0.20	named	org.apache.tomcat	tomcat-el-api	2022-03-31T14:51:50Z	4.0
4.0.0.Alpha1	named	org.jboss.spec.jakarta.el	jboss-el-api_5.0_spec	2022-05-05T03:40:46Z	4.0.0.Alpha1
10.1.0-M15	named	org.apache.tomcat	tomcat-el-api	2022-05-10T22:18:41Z	5.0
