5.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.0/org.wso2.carbon.identity.entitlement.endpoint-5.10.0.jar returned status 404
5.10.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.61/org.wso2.carbon.identity.entitlement.endpoint-5.10.61.jar returned status 404
5.10.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.62/org.wso2.carbon.identity.entitlement.endpoint-5.10.62.jar returned status 404
5.10.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.63/org.wso2.carbon.identity.entitlement.endpoint-5.10.63.jar returned status 404
5.10.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.64/org.wso2.carbon.identity.entitlement.endpoint-5.10.64.jar returned status 404
5.10.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.65/org.wso2.carbon.identity.entitlement.endpoint-5.10.65.jar returned status 404
5.10.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.66/org.wso2.carbon.identity.entitlement.endpoint-5.10.66.jar returned status 404
5.10.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.67/org.wso2.carbon.identity.entitlement.endpoint-5.10.67.jar returned status 404
5.10.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.68/org.wso2.carbon.identity.entitlement.endpoint-5.10.68.jar returned status 404
5.10.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.69/org.wso2.carbon.identity.entitlement.endpoint-5.10.69.jar returned status 404
5.10.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.7/org.wso2.carbon.identity.entitlement.endpoint-5.10.7.jar returned status 404
5.10.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.70/org.wso2.carbon.identity.entitlement.endpoint-5.10.70.jar returned status 404
5.10.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.71/org.wso2.carbon.identity.entitlement.endpoint-5.10.71.jar returned status 404
5.10.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.72/org.wso2.carbon.identity.entitlement.endpoint-5.10.72.jar returned status 404
5.10.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.73/org.wso2.carbon.identity.entitlement.endpoint-5.10.73.jar returned status 404
5.10.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.74/org.wso2.carbon.identity.entitlement.endpoint-5.10.74.jar returned status 404
5.10.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.75/org.wso2.carbon.identity.entitlement.endpoint-5.10.75.jar returned status 404
5.10.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.76/org.wso2.carbon.identity.entitlement.endpoint-5.10.76.jar returned status 404
5.10.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.77/org.wso2.carbon.identity.entitlement.endpoint-5.10.77.jar returned status 404
