org.slf4j	allowed
com.newrelic.agent.android	rejected
com.oneandone	rejected
com.opkloud	rejected
com.rei.aether	rejected
com.robotaccomplice	rejected
com.salesforce.datacloud	rejected
com.sap.cloud.security.ams.dcl	rejected
com.shr25.mirai	rejected
com.siemens.ct.exi	rejected
com.sndyuk	rejected
com.sportradar.livedata.sdk	rejected
com.squareup.misk	rejected
com.teamscale	rejected
com.treasuredata.client	rejected
com.vmware.saas.functional.test	rejected
com.yegor256	rejected
com.yscope.logging	rejected
de.athalis.coreasm	rejected
de.bwaldvogel	rejected
de.fraunhofer.aisec	rejected
de.fraunhofer.iem	rejected
de.fraunhofer.iosb.ilt.FROST-Server	rejected
de.learnlib.distribution	rejected
de.redsix	rejected
dev.atchison.mariaDB4j	rejected
dev.detekt	rejected
dev.neovoxel.jarflow	rejected
dev.walgo	rejected
enterprises.iwakura	rejected
eu.bp99	rejected
eu.kafkaesque	rejected
eu.maveniverse.maven.mimir.node	rejected
eu.stamp-project	rejected
fr.inria.corese	rejected
ga.palomox.lightrest	rejected
in.arcadelabs.labaide	rejected
info.ankin.projects	rejected
info.freelibrary	rejected
info.unterrainer.commons	rejected
io.axual.connect.plugins.kafka	rejected
io.bdeploy	rejected
io.camunda.connector	rejected
io.continual	rejected
io.cryostat	rejected
io.dgraph	rejected
io.euhedral-execution	rejected
io.getunleash	rejected
io.gitee.aarontester	rejected
io.gitee.soulgoodmans	rejected
io.github.aaronteam	rejected
io.github.adorsys-gis	rejected
io.github.aliyun-mq	rejected
io.github.aliyunmq	rejected
io.github.bekoenig.getdown	rejected
io.github.cdnk	rejected
io.github.ch-magic-duck	rejected
io.github.ci-cmg.wod	rejected
io.github.danieleperuzzi	rejected
io.github.davidwhitlock.cs410J	rejected
io.github.davidwhitlock.joy	rejected
io.github.de-tu-dresden-inf-lat	rejected
io.github.ethanz0x0	rejected
io.github.extended-green-cloud	rejected
io.github.hungvm90	rejected
io.github.icomm-api	rejected
io.github.jdiscordbots	rejected
io.github.linagora.linid.im	rejected
io.github.liquid-java	rejected
io.github.lxgaming	rejected
io.github.mathcoach	rejected
io.github.milkdrinkers	rejected
io.github.mm-asraf	rejected
io.github.mmbishop	rejected
io.github.mraysmit	rejected
io.github.mrdolch	rejected
io.github.murfffi	rejected
io.github.nickgibbon	rejected
io.github.opentelekomcloud-community	rejected
io.github.origin-energy	rejected
io.github.pandalxb	rejected
io.github.sawors	rejected
io.github.scouter-project	rejected
io.github.seleniumbrain	rejected
io.github.shroman	rejected
io.github.smartboot.mqtt	rejected
io.github.soda3x	rejected
io.github.thewebcode	rejected
io.github.vincentjames501	rejected
io.github.wallawood	rejected
io.github.wppli	rejected
io.github.xzc-coder	rejected
io.github.zemise	rejected
io.gitlab.arturbosch.detekt	rejected
io.glutenproject	rejected
io.jeamlit	rejected
io.kestra.plugin	rejected
io.kestra.storage	rejected
io.keyko	rejected
io.last9	rejected
io.littlehorse	rejected
io.mosip.cacheprovider	rejected
io.mosip.certify	rejected
io.openlineage	rejected
io.pinecone	rejected
io.qpointz.mill	rejected
io.restx	rejected
io.specmesh	rejected
io.spicelabs	rejected
io.streamnative.pulsar.handlers	rejected
io.swagger.codegen.v3	rejected
io.testomat	rejected
io.trino.tempto	rejected
io.unmeshed	rejected
io.vertx	rejected
io.virtdata	rejected
io.wizzie	rejected
io.wizzie.enricher	rejected
io.wizzie.normalizer	rejected
it.netgrid	rejected
it.rotaliano.salesforce	rejected
it.unibo.tuprolog.argumentation	rejected
me.chrissw-r1	rejected
ml.combust.mleap	rejected
net.automatalib.distribution	rejected
net.mamoe	rejected
net.maritimecloud.pki	rejected
net.openhft	rejected
net.serenity-bdd	rejected
net.technearts	rejected
net.tlabs-data	rejected
net.unit8.enkan	rejected
net.webtide.tools	rejected
nl.basjes.parse.useragent	rejected
nl.goodbytes.xmpp.xep	rejected
nl.tno	rejected
no.entur	rejected
one.lfa	rejected
org.aksw.sparqlify	rejected
org.apache.activemq	rejected
org.apache.artemis	rejected
org.apache.ctakes	rejected
org.apache.gravitino	rejected
org.apache.iceberg	rejected
org.apache.iotdb	rejected
org.apache.james	rejected
org.apache.jena	rejected
org.apache.pinot	rejected
org.apache.ratis	rejected
org.apache.s2graph	rejected
org.apache.storm	rejected
org.apache.tika	rejected
org.apache.xtable	rejected
org.automon	rejected
org.bidib.com.github.markusbernhardt	rejected
org.bklab	rejected
org.bspfsystems	rejected
org.cloudsimplus	rejected
org.cometd.java	rejected
org.commonjava.atlas	rejected
org.craftercms.mariaDB4j	rejected
org.duracloud.mill	rejected
org.eclipse.ditto	rejected
org.eclipse.jetty	rejected
org.eclipse.jetty.ee10	rejected
org.eclipse.jetty.ee11	rejected
org.eclipse.jetty.ee8	rejected
org.eclipse.jetty.ee9	rejected
org.expath.http.client	rejected
org.flexiblepower.defpi	rejected
org.gov4j.thirdparty.org.slf4j	rejected
org.humanistika.oxygen	rejected
org.icij.datashare	rejected
org.igniterealtime.whack	rejected
org.into-cps.maestro	rejected
org.jdbi	rejected
org.jetbrains.kotlinx	rejected
org.key-project	rejected
org.kie	rejected
org.komamitsu	rejected
org.laoruga	rejected
org.liquibase.ext	rejected
org.logevents	rejected
org.metabit.platform.support.config	rejected
org.metricshub	rejected
org.mustangproject	rejected
org.neo4j.procedure	rejected
org.noear	rejected
org.open-metadata	rejected
org.openfeed	rejected
org.openidentityplatform.commons.json-crypto	rejected
org.openidentityplatform.commons.json-schema	rejected
org.openidentityplatform.openam	rejected
org.openidentityplatform.opendj	rejected
org.openidentityplatform.openidm	rejected
org.openl.rules.ext	rejected
org.opensearch	rejected
org.ops4j.pax.url	rejected
org.ow2.joram	rejected
org.owasp.netryx	rejected
org.polypheny	rejected
org.polystat	rejected
org.pragmatica-lite	rejected
org.pragmatica-lite.aether	rejected
org.qubership.profiler	rejected
org.requs	rejected
org.sentrysoftware	rejected
org.sonarsource.flex	rejected
org.sonarsource.html	rejected
org.soot-oss	rejected
org.spdx	rejected
org.spf4j	rejected
org.talend.sdk.component.sample.feature	rejected
org.tallison.tika	rejected
org.tango-controls	rejected
org.tbee.thymeleafer	rejected
org.wildfly.core	rejected
org.worldcubeassociation.tnoodle	rejected
plus.gaga.middleware	rejected
ro.ghionoiu	rejected
ru.loolzaaa.tgbot4j	rejected
se.bjurr.gitchangelog	rejected
se.signatureservice.support	rejected
software.amazon.nio.s3	rejected
solutions.a2.kafka	rejected
tech.catheu	rejected
tech.tablesaw	rejected
tech.thegamedefault.wrappyj	rejected
us.poliscore	rejected
us.springett	rejected
