0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.1/spring-javaformat-eclipse-0.0.1.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.20/spring-javaformat-eclipse-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.21/spring-javaformat-eclipse-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.22/spring-javaformat-eclipse-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.23/spring-javaformat-eclipse-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.24/spring-javaformat-eclipse-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.25/spring-javaformat-eclipse-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.26/spring-javaformat-eclipse-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.27/spring-javaformat-eclipse-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.28/spring-javaformat-eclipse-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.29/spring-javaformat-eclipse-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.3/spring-javaformat-eclipse-0.0.3.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.30/spring-javaformat-eclipse-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.31/spring-javaformat-eclipse-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.32/spring-javaformat-eclipse-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.33/spring-javaformat-eclipse-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.34/spring-javaformat-eclipse-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.35/spring-javaformat-eclipse-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.36/spring-javaformat-eclipse-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.37/spring-javaformat-eclipse-0.0.37.jar returned status 404
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.38/spring-javaformat-eclipse-0.0.38.jar returned status 404
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.39/spring-javaformat-eclipse-0.0.39.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.4/spring-javaformat-eclipse-0.0.4.jar returned status 404
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.40/spring-javaformat-eclipse-0.0.40.jar returned status 404
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.41/spring-javaformat-eclipse-0.0.41.jar returned status 404
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.42/spring-javaformat-eclipse-0.0.42.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.43/spring-javaformat-eclipse-0.0.43.jar returned status 404
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.44/spring-javaformat-eclipse-0.0.44.jar returned status 404
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.45/spring-javaformat-eclipse-0.0.45.jar returned status 404
0.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.46/spring-javaformat-eclipse-0.0.46.jar returned status 404
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.47/spring-javaformat-eclipse-0.0.47.jar returned status 404
0.0.48		2026-08-14T16:18:12Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.48/spring-javaformat-eclipse-0.0.48.jar returned status 404
0.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.5/spring-javaformat-eclipse-0.0.5.jar returned status 404
0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.6/spring-javaformat-eclipse-0.0.6.jar returned status 404
0.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.7/spring-javaformat-eclipse-0.0.7.jar returned status 404
0.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.8/spring-javaformat-eclipse-0.0.8.jar returned status 404
0.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.9/spring-javaformat-eclipse-0.0.9.jar returned status 404
