1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.1/standard-project-parent-1.0.1.jar returned status 404
1.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.37/standard-project-parent-1.0.37.jar returned status 404
1.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.38/standard-project-parent-1.0.38.jar returned status 404
1.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.39/standard-project-parent-1.0.39.jar returned status 404
1.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.4/standard-project-parent-1.0.4.jar returned status 404
1.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.40/standard-project-parent-1.0.40.jar returned status 404
1.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.41/standard-project-parent-1.0.41.jar returned status 404
1.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.42/standard-project-parent-1.0.42.jar returned status 404
1.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.43/standard-project-parent-1.0.43.jar returned status 404
1.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.44/standard-project-parent-1.0.44.jar returned status 404
1.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.45/standard-project-parent-1.0.45.jar returned status 404
1.0.46		2026-07-06T15:42:36Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.46/standard-project-parent-1.0.46.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.5/standard-project-parent-1.0.5.jar returned status 404
1.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.6/standard-project-parent-1.0.6.jar returned status 404
1.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.7/standard-project-parent-1.0.7.jar returned status 404
1.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.8/standard-project-parent-1.0.8.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/bbottema/standard-project-parent/1.0.9/standard-project-parent-1.0.9.jar returned status 404
