3.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/3.1.0/atmosphere-quarkus-extension-parent-3.1.0.jar returned status 404
4.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.23/atmosphere-quarkus-extension-parent-4.0.23.jar returned status 404
4.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.24/atmosphere-quarkus-extension-parent-4.0.24.jar returned status 404
4.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.25/atmosphere-quarkus-extension-parent-4.0.25.jar returned status 404
4.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.26/atmosphere-quarkus-extension-parent-4.0.26.jar returned status 404
4.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.27/atmosphere-quarkus-extension-parent-4.0.27.jar returned status 404
4.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.28/atmosphere-quarkus-extension-parent-4.0.28.jar returned status 404
4.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.29/atmosphere-quarkus-extension-parent-4.0.29.jar returned status 404
4.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.3/atmosphere-quarkus-extension-parent-4.0.3.jar returned status 404
4.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.31/atmosphere-quarkus-extension-parent-4.0.31.jar returned status 404
4.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.32/atmosphere-quarkus-extension-parent-4.0.32.jar returned status 404
4.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.33/atmosphere-quarkus-extension-parent-4.0.33.jar returned status 404
4.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.34/atmosphere-quarkus-extension-parent-4.0.34.jar returned status 404
4.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.35/atmosphere-quarkus-extension-parent-4.0.35.jar returned status 404
4.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.36/atmosphere-quarkus-extension-parent-4.0.36.jar returned status 404
4.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.37/atmosphere-quarkus-extension-parent-4.0.37.jar returned status 404
4.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.38/atmosphere-quarkus-extension-parent-4.0.38.jar returned status 404
4.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.39/atmosphere-quarkus-extension-parent-4.0.39.jar returned status 404
4.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.4/atmosphere-quarkus-extension-parent-4.0.4.jar returned status 404
4.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.40/atmosphere-quarkus-extension-parent-4.0.40.jar returned status 404
4.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.41/atmosphere-quarkus-extension-parent-4.0.41.jar returned status 404
4.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.42/atmosphere-quarkus-extension-parent-4.0.42.jar returned status 404
4.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.43/atmosphere-quarkus-extension-parent-4.0.43.jar returned status 404
4.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.44/atmosphere-quarkus-extension-parent-4.0.44.jar returned status 404
4.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.45/atmosphere-quarkus-extension-parent-4.0.45.jar returned status 404
4.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.46/atmosphere-quarkus-extension-parent-4.0.46.jar returned status 404
4.0.47		2026-05-21T13:11:02Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.47/atmosphere-quarkus-extension-parent-4.0.47.jar returned status 404
4.0.48		2026-05-25T01:12:42Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.48/atmosphere-quarkus-extension-parent-4.0.48.jar returned status 404
4.0.49		2026-05-28T22:53:16Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.49/atmosphere-quarkus-extension-parent-4.0.49.jar returned status 404
4.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.5/atmosphere-quarkus-extension-parent-4.0.5.jar returned status 404
4.0.50		2026-06-05T12:49:44Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.50/atmosphere-quarkus-extension-parent-4.0.50.jar returned status 404
4.0.51		2026-06-06T18:42:46Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.51/atmosphere-quarkus-extension-parent-4.0.51.jar returned status 404
4.0.52		2026-06-08T21:20:31Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.52/atmosphere-quarkus-extension-parent-4.0.52.jar returned status 404
4.0.53		2026-06-12T15:11:10Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.53/atmosphere-quarkus-extension-parent-4.0.53.jar returned status 404
4.0.54		2026-06-13T14:32:52Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.54/atmosphere-quarkus-extension-parent-4.0.54.jar returned status 404
4.0.55		2026-06-18T00:07:41Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.55/atmosphere-quarkus-extension-parent-4.0.55.jar returned status 404
4.0.56		2026-06-23T00:31:51Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.56/atmosphere-quarkus-extension-parent-4.0.56.jar returned status 404
4.0.57		2026-06-26T13:57:18Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.57/atmosphere-quarkus-extension-parent-4.0.57.jar returned status 404
4.0.58		2026-06-26T23:27:25Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.58/atmosphere-quarkus-extension-parent-4.0.58.jar returned status 404
4.0.59		2026-06-27T21:05:23Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.59/atmosphere-quarkus-extension-parent-4.0.59.jar returned status 404
4.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.6/atmosphere-quarkus-extension-parent-4.0.6.jar returned status 404
4.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.60/atmosphere-quarkus-extension-parent-4.0.60.jar returned status 404
4.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.61/atmosphere-quarkus-extension-parent-4.0.61.jar returned status 404
4.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.62/atmosphere-quarkus-extension-parent-4.0.62.jar returned status 404
4.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.63/atmosphere-quarkus-extension-parent-4.0.63.jar returned status 404
4.0.64		2026-08-06T03:42:34Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.64/atmosphere-quarkus-extension-parent-4.0.64.jar returned status 404
4.0.65		2026-08-07T16:50:10Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.65/atmosphere-quarkus-extension-parent-4.0.65.jar returned status 404
4.0.66		2026-08-09T20:59:55Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.66/atmosphere-quarkus-extension-parent-4.0.66.jar returned status 404
4.0.67		2026-08-17T13:47:43Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.67/atmosphere-quarkus-extension-parent-4.0.67.jar returned status 404
4.0.68		2026-08-23T17:13:44Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.68/atmosphere-quarkus-extension-parent-4.0.68.jar returned status 404
4.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.7/atmosphere-quarkus-extension-parent-4.0.7.jar returned status 404
4.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.8/atmosphere-quarkus-extension-parent-4.0.8.jar returned status 404
4.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/atmosphere/atmosphere-quarkus-extension-parent/4.0.9/atmosphere-quarkus-extension-parent-4.0.9.jar returned status 404
