1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.0/sdk-terminal-library-openpay-1.0.0.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.20/sdk-terminal-library-openpay-1.0.20.jar returned status 404
1.0.21-ToP			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.21-ToP/sdk-terminal-library-openpay-1.0.21-ToP.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.22/sdk-terminal-library-openpay-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.23/sdk-terminal-library-openpay-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.24/sdk-terminal-library-openpay-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.25/sdk-terminal-library-openpay-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.26/sdk-terminal-library-openpay-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.27/sdk-terminal-library-openpay-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.28/sdk-terminal-library-openpay-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.29/sdk-terminal-library-openpay-1.0.29.jar returned status 404
1.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.3/sdk-terminal-library-openpay-1.0.3.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.31/sdk-terminal-library-openpay-1.0.31.jar returned status 404
1.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.32/sdk-terminal-library-openpay-1.0.32.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.33/sdk-terminal-library-openpay-1.0.33.jar returned status 404
1.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.34/sdk-terminal-library-openpay-1.0.34.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.35/sdk-terminal-library-openpay-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.36/sdk-terminal-library-openpay-1.0.36.jar returned status 404
1.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.37/sdk-terminal-library-openpay-1.0.37.jar returned status 404
1.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.38/sdk-terminal-library-openpay-1.0.38.jar returned status 404
1.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.39/sdk-terminal-library-openpay-1.0.39.jar returned status 404
1.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.4/sdk-terminal-library-openpay-1.0.4.jar returned status 404
1.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.40/sdk-terminal-library-openpay-1.0.40.jar returned status 404
1.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.41/sdk-terminal-library-openpay-1.0.41.jar returned status 404
1.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.42/sdk-terminal-library-openpay-1.0.42.jar returned status 404
1.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.43/sdk-terminal-library-openpay-1.0.43.jar returned status 404
1.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.44/sdk-terminal-library-openpay-1.0.44.jar returned status 404
1.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.45/sdk-terminal-library-openpay-1.0.45.jar returned status 404
1.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.46/sdk-terminal-library-openpay-1.0.46.jar returned status 404
1.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.47/sdk-terminal-library-openpay-1.0.47.jar returned status 404
1.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.48/sdk-terminal-library-openpay-1.0.48.jar returned status 404
1.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.49/sdk-terminal-library-openpay-1.0.49.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.5/sdk-terminal-library-openpay-1.0.5.jar returned status 404
1.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.50/sdk-terminal-library-openpay-1.0.50.jar returned status 404
1.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.51/sdk-terminal-library-openpay-1.0.51.jar returned status 404
1.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.52/sdk-terminal-library-openpay-1.0.52.jar returned status 404
1.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.53/sdk-terminal-library-openpay-1.0.53.jar returned status 404
1.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.54/sdk-terminal-library-openpay-1.0.54.jar returned status 404
1.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.55/sdk-terminal-library-openpay-1.0.55.jar returned status 404
1.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.56/sdk-terminal-library-openpay-1.0.56.jar returned status 404
1.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.57/sdk-terminal-library-openpay-1.0.57.jar returned status 404
1.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.58/sdk-terminal-library-openpay-1.0.58.jar returned status 404
1.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.59/sdk-terminal-library-openpay-1.0.59.jar returned status 404
1.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.6/sdk-terminal-library-openpay-1.0.6.jar returned status 404
1.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.60/sdk-terminal-library-openpay-1.0.60.jar returned status 404
1.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.61/sdk-terminal-library-openpay-1.0.61.jar returned status 404
1.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.62/sdk-terminal-library-openpay-1.0.62.jar returned status 404
1.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.63/sdk-terminal-library-openpay-1.0.63.jar returned status 404
1.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.64/sdk-terminal-library-openpay-1.0.64.jar returned status 404
1.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.66/sdk-terminal-library-openpay-1.0.66.jar returned status 404
1.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.67/sdk-terminal-library-openpay-1.0.67.jar returned status 404
1.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.68/sdk-terminal-library-openpay-1.0.68.jar returned status 404
1.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.69/sdk-terminal-library-openpay-1.0.69.jar returned status 404
1.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.7/sdk-terminal-library-openpay-1.0.7.jar returned status 404
1.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.70/sdk-terminal-library-openpay-1.0.70.jar returned status 404
1.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.71/sdk-terminal-library-openpay-1.0.71.jar returned status 404
1.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.72/sdk-terminal-library-openpay-1.0.72.jar returned status 404
1.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.73/sdk-terminal-library-openpay-1.0.73.jar returned status 404
1.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.74/sdk-terminal-library-openpay-1.0.74.jar returned status 404
1.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.75/sdk-terminal-library-openpay-1.0.75.jar returned status 404
1.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.76/sdk-terminal-library-openpay-1.0.76.jar returned status 404
1.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.77/sdk-terminal-library-openpay-1.0.77.jar returned status 404
1.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.78/sdk-terminal-library-openpay-1.0.78.jar returned status 404
1.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.79/sdk-terminal-library-openpay-1.0.79.jar returned status 404
1.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.8/sdk-terminal-library-openpay-1.0.8.jar returned status 404
1.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.80/sdk-terminal-library-openpay-1.0.80.jar returned status 404
1.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.81/sdk-terminal-library-openpay-1.0.81.jar returned status 404
1.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.82/sdk-terminal-library-openpay-1.0.82.jar returned status 404
1.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.83/sdk-terminal-library-openpay-1.0.83.jar returned status 404
1.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.84/sdk-terminal-library-openpay-1.0.84.jar returned status 404
1.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.85/sdk-terminal-library-openpay-1.0.85.jar returned status 404
1.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.86/sdk-terminal-library-openpay-1.0.86.jar returned status 404
1.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.87/sdk-terminal-library-openpay-1.0.87.jar returned status 404
1.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.88/sdk-terminal-library-openpay-1.0.88.jar returned status 404
1.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.89/sdk-terminal-library-openpay-1.0.89.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.9/sdk-terminal-library-openpay-1.0.9.jar returned status 404
1.0.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.90/sdk-terminal-library-openpay-1.0.90.jar returned status 404
1.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.91/sdk-terminal-library-openpay-1.0.91.jar returned status 404
1.0.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.92/sdk-terminal-library-openpay-1.0.92.jar returned status 404
1.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.93/sdk-terminal-library-openpay-1.0.93.jar returned status 404
1.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.94/sdk-terminal-library-openpay-1.0.94.jar returned status 404
1.0.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.95/sdk-terminal-library-openpay-1.0.95.jar returned status 404
1.0.96			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.96/sdk-terminal-library-openpay-1.0.96.jar returned status 404
1.0.97			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.97/sdk-terminal-library-openpay-1.0.97.jar returned status 404
1.0.98			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.98/sdk-terminal-library-openpay-1.0.98.jar returned status 404
1.0.99			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.0.99/sdk-terminal-library-openpay-1.0.99.jar returned status 404
1.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/mx/openpay/sdk-terminal-library-openpay/1.1.0/sdk-terminal-library-openpay-1.1.0.jar returned status 404
