0.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/0.1.1/quic-0.1.1.jar returned status 404
10.9.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.67/quic-10.9.67.jar returned status 404
10.9.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.68/quic-10.9.68.jar returned status 404
10.9.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.69/quic-10.9.69.jar returned status 404
10.9.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.70/quic-10.9.70.jar returned status 404
10.9.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.71/quic-10.9.71.jar returned status 404
10.9.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.75/quic-10.9.75.jar returned status 404
10.9.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.76/quic-10.9.76.jar returned status 404
10.9.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.77/quic-10.9.77.jar returned status 404
10.9.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.80/quic-10.9.80.jar returned status 404
10.9.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.81/quic-10.9.81.jar returned status 404
10.9.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.82/quic-10.9.82.jar returned status 404
10.9.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.83/quic-10.9.83.jar returned status 404
10.9.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.86/quic-10.9.86.jar returned status 404
10.9.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.87/quic-10.9.87.jar returned status 404
10.9.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.90/quic-10.9.90.jar returned status 404
10.9.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/10.9.91/quic-10.9.91.jar returned status 404
9.16.600			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.600/quic-9.16.600.jar returned status 404
9.16.700			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.700/quic-9.16.700.jar returned status 404
9.16.800			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.800/quic-9.16.800.jar returned status 404
9.16.900			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.900/quic-9.16.900.jar returned status 404
9.16.901			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.901/quic-9.16.901.jar returned status 404
9.16.902			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.902/quic-9.16.902.jar returned status 404
9.16.903			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.903/quic-9.16.903.jar returned status 404
9.16.904			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.16.904/quic-9.16.904.jar returned status 404
9.18.500			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.18.500/quic-9.18.500.jar returned status 404
9.18.501			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.18.501/quic-9.18.501.jar returned status 404
9.19.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.10/quic-9.19.10.jar returned status 404
9.19.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.100/quic-9.19.100.jar returned status 404
9.19.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.101/quic-9.19.101.jar returned status 404
9.19.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.11/quic-9.19.11.jar returned status 404
9.19.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.13/quic-9.19.13.jar returned status 404
9.19.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.14/quic-9.19.14.jar returned status 404
9.19.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.3/quic-9.19.3.jar returned status 404
9.19.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.4/quic-9.19.4.jar returned status 404
9.19.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.19.5/quic-9.19.5.jar returned status 404
9.20.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.1/quic-9.20.1.jar returned status 404
9.20.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.10/quic-9.20.10.jar returned status 404
9.20.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.12/quic-9.20.12.jar returned status 404
9.20.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.13/quic-9.20.13.jar returned status 404
9.20.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.14/quic-9.20.14.jar returned status 404
9.20.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.15/quic-9.20.15.jar returned status 404
9.20.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.16/quic-9.20.16.jar returned status 404
9.20.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.17/quic-9.20.17.jar returned status 404
9.20.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.20.18/quic-9.20.18.jar returned status 404
9.21.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.0/quic-9.21.0.jar returned status 404
9.21.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.10/quic-9.21.10.jar returned status 404
9.21.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.11/quic-9.21.11.jar returned status 404
9.21.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.12/quic-9.21.12.jar returned status 404
9.21.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.13/quic-9.21.13.jar returned status 404
9.21.14		2026-05-26T09:36:20Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.14/quic-9.21.14.jar returned status 404
9.21.15		2026-06-12T11:38:26Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.15/quic-9.21.15.jar returned status 404
9.21.16		2026-06-18T03:00:37Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/netease/nimlib/quic/9.21.16/quic-9.21.16.jar returned status 404
