0.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.0/org.openprojectx.karate.gradle.gradle.plugin-0.1.0.jar returned status 404
0.1.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.37/org.openprojectx.karate.gradle.gradle.plugin-0.1.37.jar returned status 404
0.1.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.38/org.openprojectx.karate.gradle.gradle.plugin-0.1.38.jar returned status 404
0.1.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.39/org.openprojectx.karate.gradle.gradle.plugin-0.1.39.jar returned status 404
0.1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.4/org.openprojectx.karate.gradle.gradle.plugin-0.1.4.jar returned status 404
0.1.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.40/org.openprojectx.karate.gradle.gradle.plugin-0.1.40.jar returned status 404
0.1.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.41/org.openprojectx.karate.gradle.gradle.plugin-0.1.41.jar returned status 404
0.1.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.42/org.openprojectx.karate.gradle.gradle.plugin-0.1.42.jar returned status 404
0.1.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.43/org.openprojectx.karate.gradle.gradle.plugin-0.1.43.jar returned status 404
0.1.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.44/org.openprojectx.karate.gradle.gradle.plugin-0.1.44.jar returned status 404
0.1.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.45/org.openprojectx.karate.gradle.gradle.plugin-0.1.45.jar returned status 404
0.1.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.46/org.openprojectx.karate.gradle.gradle.plugin-0.1.46.jar returned status 404
0.1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.47/org.openprojectx.karate.gradle.gradle.plugin-0.1.47.jar returned status 404
0.1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.48/org.openprojectx.karate.gradle.gradle.plugin-0.1.48.jar returned status 404
0.1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.49/org.openprojectx.karate.gradle.gradle.plugin-0.1.49.jar returned status 404
0.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.5/org.openprojectx.karate.gradle.gradle.plugin-0.1.5.jar returned status 404
0.1.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.50/org.openprojectx.karate.gradle.gradle.plugin-0.1.50.jar returned status 404
0.1.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.51/org.openprojectx.karate.gradle.gradle.plugin-0.1.51.jar returned status 404
0.1.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.52/org.openprojectx.karate.gradle.gradle.plugin-0.1.52.jar returned status 404
0.1.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.53/org.openprojectx.karate.gradle.gradle.plugin-0.1.53.jar returned status 404
0.1.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.54/org.openprojectx.karate.gradle.gradle.plugin-0.1.54.jar returned status 404
0.1.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.55/org.openprojectx.karate.gradle.gradle.plugin-0.1.55.jar returned status 404
0.1.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.56/org.openprojectx.karate.gradle.gradle.plugin-0.1.56.jar returned status 404
0.1.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.57/org.openprojectx.karate.gradle.gradle.plugin-0.1.57.jar returned status 404
0.1.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.58/org.openprojectx.karate.gradle.gradle.plugin-0.1.58.jar returned status 404
0.1.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.59/org.openprojectx.karate.gradle.gradle.plugin-0.1.59.jar returned status 404
0.1.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.6/org.openprojectx.karate.gradle.gradle.plugin-0.1.6.jar returned status 404
0.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.60/org.openprojectx.karate.gradle.gradle.plugin-0.1.60.jar returned status 404
0.1.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.61/org.openprojectx.karate.gradle.gradle.plugin-0.1.61.jar returned status 404
0.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.62/org.openprojectx.karate.gradle.gradle.plugin-0.1.62.jar returned status 404
0.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.63/org.openprojectx.karate.gradle.gradle.plugin-0.1.63.jar returned status 404
0.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.64/org.openprojectx.karate.gradle.gradle.plugin-0.1.64.jar returned status 404
0.1.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.65/org.openprojectx.karate.gradle.gradle.plugin-0.1.65.jar returned status 404
0.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.66/org.openprojectx.karate.gradle.gradle.plugin-0.1.66.jar returned status 404
0.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.67/org.openprojectx.karate.gradle.gradle.plugin-0.1.67.jar returned status 404
0.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.68/org.openprojectx.karate.gradle.gradle.plugin-0.1.68.jar returned status 404
0.1.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.69/org.openprojectx.karate.gradle.gradle.plugin-0.1.69.jar returned status 404
0.1.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.7/org.openprojectx.karate.gradle.gradle.plugin-0.1.7.jar returned status 404
0.1.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.70/org.openprojectx.karate.gradle.gradle.plugin-0.1.70.jar returned status 404
0.1.71		2026-05-18T15:00:22Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.71/org.openprojectx.karate.gradle.gradle.plugin-0.1.71.jar returned status 404
0.1.72		2026-05-25T14:49:12Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.72/org.openprojectx.karate.gradle.gradle.plugin-0.1.72.jar returned status 404
0.1.73		2026-05-26T00:04:01Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.73/org.openprojectx.karate.gradle.gradle.plugin-0.1.73.jar returned status 404
0.1.74		2026-05-26T00:53:41Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.74/org.openprojectx.karate.gradle.gradle.plugin-0.1.74.jar returned status 404
0.1.75		2026-06-03T23:15:39Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.75/org.openprojectx.karate.gradle.gradle.plugin-0.1.75.jar returned status 404
0.1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.8/org.openprojectx.karate.gradle.gradle.plugin-0.1.8.jar returned status 404
0.1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/openprojectx/karate/gradle/org.openprojectx.karate.gradle.gradle.plugin/0.1.9/org.openprojectx.karate.gradle.gradle.plugin-0.1.9.jar returned status 404
