0.3.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.0/ext-0.3.0.jar returned status 404
0.3.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.38/ext-0.3.38.jar returned status 404
0.3.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.39/ext-0.3.39.jar returned status 404
0.3.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.4/ext-0.3.4.jar returned status 404
0.3.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.40/ext-0.3.40.jar returned status 404
0.3.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.41/ext-0.3.41.jar returned status 404
0.3.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.42/ext-0.3.42.jar returned status 404
0.3.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.43/ext-0.3.43.jar returned status 404
0.3.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.44/ext-0.3.44.jar returned status 404
0.3.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.45/ext-0.3.45.jar returned status 404
0.3.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.46/ext-0.3.46.jar returned status 404
0.3.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.47/ext-0.3.47.jar returned status 404
0.3.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.48/ext-0.3.48.jar returned status 404
0.3.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.5/ext-0.3.5.jar returned status 404
0.3.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.50/ext-0.3.50.jar returned status 404
0.3.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.51/ext-0.3.51.jar returned status 404
0.3.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.52/ext-0.3.52.jar returned status 404
0.3.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.53/ext-0.3.53.jar returned status 404
0.3.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.54/ext-0.3.54.jar returned status 404
0.3.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.55/ext-0.3.55.jar returned status 404
0.3.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.56/ext-0.3.56.jar returned status 404
0.3.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.57/ext-0.3.57.jar returned status 404
0.3.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.58/ext-0.3.58.jar returned status 404
0.3.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.59/ext-0.3.59.jar returned status 404
0.3.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.6/ext-0.3.6.jar returned status 404
0.3.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.60/ext-0.3.60.jar returned status 404
0.3.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.61/ext-0.3.61.jar returned status 404
0.3.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.62/ext-0.3.62.jar returned status 404
0.3.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.63/ext-0.3.63.jar returned status 404
0.3.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.64/ext-0.3.64.jar returned status 404
0.3.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.65/ext-0.3.65.jar returned status 404
0.3.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.66/ext-0.3.66.jar returned status 404
0.3.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.67/ext-0.3.67.jar returned status 404
0.3.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.68/ext-0.3.68.jar returned status 404
0.3.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.69/ext-0.3.69.jar returned status 404
0.3.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.7/ext-0.3.7.jar returned status 404
0.3.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.70/ext-0.3.70.jar returned status 404
0.3.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.71/ext-0.3.71.jar returned status 404
0.3.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.72/ext-0.3.72.jar returned status 404
0.3.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.73/ext-0.3.73.jar returned status 404
0.3.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.74/ext-0.3.74.jar returned status 404
0.3.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.76/ext-0.3.76.jar returned status 404
0.3.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.8/ext-0.3.8.jar returned status 404
0.3.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/dotwebstack/framework/ext/0.3.9/ext-0.3.9.jar returned status 404
