0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/0.0.1/configuration-0.0.1.jar returned status 404
2.0.140			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.140/configuration-2.0.140.jar returned status 404
2.0.141			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.141/configuration-2.0.141.jar returned status 404
2.0.142			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.142/configuration-2.0.142.jar returned status 404
2.0.143			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.143/configuration-2.0.143.jar returned status 404
2.0.144			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.144/configuration-2.0.144.jar returned status 404
2.0.146			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.146/configuration-2.0.146.jar returned status 404
2.0.147			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.147/configuration-2.0.147.jar returned status 404
2.0.148			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.148/configuration-2.0.148.jar returned status 404
2.0.149			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.149/configuration-2.0.149.jar returned status 404
2.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.15/configuration-2.0.15.jar returned status 404
2.0.150			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.150/configuration-2.0.150.jar returned status 404
2.0.151			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.151/configuration-2.0.151.jar returned status 404
2.0.152		2026-05-21T13:09:30Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.152/configuration-2.0.152.jar returned status 404
2.0.153		2026-08-24T14:55:54Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.153/configuration-2.0.153.jar returned status 404
2.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.16/configuration-2.0.16.jar returned status 404
2.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.17/configuration-2.0.17.jar returned status 404
2.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.18/configuration-2.0.18.jar returned status 404
2.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.19/configuration-2.0.19.jar returned status 404
2.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.20/configuration-2.0.20.jar returned status 404
2.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.21/configuration-2.0.21.jar returned status 404
2.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.22/configuration-2.0.22.jar returned status 404
2.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.23/configuration-2.0.23.jar returned status 404
2.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.24/configuration-2.0.24.jar returned status 404
2.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.25/configuration-2.0.25.jar returned status 404
2.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.26/configuration-2.0.26.jar returned status 404
2.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.27/configuration-2.0.27.jar returned status 404
2.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.28/configuration-2.0.28.jar returned status 404
2.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.29/configuration-2.0.29.jar returned status 404
2.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.30/configuration-2.0.30.jar returned status 404
2.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.31/configuration-2.0.31.jar returned status 404
2.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.33/configuration-2.0.33.jar returned status 404
2.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.34/configuration-2.0.34.jar returned status 404
2.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.35/configuration-2.0.35.jar returned status 404
2.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.36/configuration-2.0.36.jar returned status 404
2.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.37/configuration-2.0.37.jar returned status 404
2.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.38/configuration-2.0.38.jar returned status 404
2.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.40/configuration-2.0.40.jar returned status 404
2.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.42/configuration-2.0.42.jar returned status 404
2.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.43/configuration-2.0.43.jar returned status 404
2.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.50/configuration-2.0.50.jar returned status 404
2.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.54/configuration-2.0.54.jar returned status 404
2.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.55/configuration-2.0.55.jar returned status 404
2.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.59/configuration-2.0.59.jar returned status 404
2.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.60/configuration-2.0.60.jar returned status 404
2.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.61/configuration-2.0.61.jar returned status 404
2.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.62/configuration-2.0.62.jar returned status 404
2.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.64/configuration-2.0.64.jar returned status 404
2.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.65/configuration-2.0.65.jar returned status 404
2.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.67/configuration-2.0.67.jar returned status 404
2.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.68/configuration-2.0.68.jar returned status 404
2.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.69/configuration-2.0.69.jar returned status 404
2.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.70/configuration-2.0.70.jar returned status 404
2.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.71/configuration-2.0.71.jar returned status 404
2.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.72/configuration-2.0.72.jar returned status 404
2.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.73/configuration-2.0.73.jar returned status 404
2.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.74/configuration-2.0.74.jar returned status 404
2.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.75/configuration-2.0.75.jar returned status 404
2.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.76/configuration-2.0.76.jar returned status 404
2.0.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.77/configuration-2.0.77.jar returned status 404
2.0.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.78/configuration-2.0.78.jar returned status 404
2.0.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.79/configuration-2.0.79.jar returned status 404
2.0.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.80/configuration-2.0.80.jar returned status 404
2.0.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.81/configuration-2.0.81.jar returned status 404
2.0.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.82/configuration-2.0.82.jar returned status 404
2.0.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.83/configuration-2.0.83.jar returned status 404
2.0.84			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.84/configuration-2.0.84.jar returned status 404
2.0.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.85/configuration-2.0.85.jar returned status 404
2.0.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.86/configuration-2.0.86.jar returned status 404
2.0.87			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.87/configuration-2.0.87.jar returned status 404
2.0.88			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.88/configuration-2.0.88.jar returned status 404
2.0.89			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.89/configuration-2.0.89.jar returned status 404
2.0.90			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.90/configuration-2.0.90.jar returned status 404
2.0.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.91/configuration-2.0.91.jar returned status 404
2.0.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.92/configuration-2.0.92.jar returned status 404
2.0.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.93/configuration-2.0.93.jar returned status 404
2.0.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/coldis/configuration/2.0.94/configuration-2.0.94.jar returned status 404
